model,family,tier,task,frontier_band,guttman_cr,scalability,date_years,release_date,frontier_age_lo,frontier_age_mid,spearman_rho,spearman_p
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.749486652977413,2025-10-01,4,5,NA,NA
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_mcq,4-5 yrs,0.7995,0.599,1.834360027378508,2025-11-01,4,4.5,0.7746,0.22540333075851646
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.1711156741957565,2026-03-04,4,5,0.7746,0.22540333075851646
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.3874058863791925,2026-05-22,4,5,0.7746,0.22540333075851646
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.521560574948665,2026-07-10,4,5,0.7746,0.22540333075851646
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.7440109514031483,2025-09-29,4,5,NA,NA
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_mcq,NA,0.9182,0.8363,2.0369609856262834,2026-01-14,NA,NA,NA,NA
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,3-5 yrs,0.8142,0.6284,0.5585215605749486,2024-07-23,3,4,NA,NA
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.9308692676249144,2024-12-06,4,5,NA,NA
