model,family,tier,task,n_items,n_correct,accuracy
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,124,117,0.9435483870967742
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,60,50,0.8333333333333334
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,124,124,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,60,48,0.8
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,124,93,0.75
openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,tom_12dim_freeresponse,60,53,0.8833333333333333
openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,tom_12dim_mcq,124,123,0.9919354838709677
openai/gpt-4o-2024-08-06,GPT,GPT standard,tom_12dim_freeresponse,60,49,0.8166666666666667
openai/gpt-4o-2024-08-06,GPT,GPT standard,tom_12dim_mcq,124,124,1.0
openai/gpt-4o-mini,GPT,GPT mini,tom_12dim_freeresponse,60,41,0.6833333333333333
openai/gpt-4o-mini,GPT,GPT mini,tom_12dim_mcq,124,124,1.0
openai/o1,GPT,GPT reasoning,tom_12dim_freeresponse,60,50,0.8333333333333334
openai/o1,GPT,GPT reasoning,tom_12dim_mcq,124,124,1.0
openai/o3-mini,GPT,GPT reasoning mini,tom_12dim_freeresponse,60,45,0.75
openai/o3-mini,GPT,GPT reasoning mini,tom_12dim_mcq,124,122,0.9838709677419355
openai/o4-mini,GPT,GPT reasoning mini,tom_12dim_freeresponse,60,45,0.75
openai/o4-mini,GPT,GPT reasoning mini,tom_12dim_mcq,124,124,1.0
