tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.696969696969697,15,495,0.2799260364070943,0.0,1.0,10
First-Order False Belief,0.768270944741533,17,561,0.3187953760155565,0.0,1.0,4
Second-Order False Belief,0.7838383838383839,15,495,0.3041519644986984,0.0,1.0,7
Knowledge Access / Ignorance,0.7878787878787878,15,495,0.28404545090850897,0.0,1.0,2
Sarcasm,0.797979797979798,15,495,0.2860093474020505,0.0,1.0,9
White Lies / Prosocial Deception,0.8080808080808081,15,495,0.2575297047362669,0.0,1.0,8
Hidden Emotion (Appearance vs. Reality),0.8101010101010101,15,495,0.28583270754120615,0.0,1.0,6
Intention vs. Accident,0.8222222222222222,15,495,0.27419917065006816,0.0,1.0,5
Diverse Desires,0.8484848484848485,15,495,0.258882602776243,0.0,1.0,0
Irony,0.8585858585858586,15,495,0.2520788984500112,0.0,1.0,11
Diverse Beliefs,0.8606060606060606,15,495,0.24287836253956216,0.0,1.0,1
Emotion Recognition,0.875222816399287,17,561,0.2537596094612761,0.0,1.0,3
