task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.6364,0.5965,,22
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.8636,0.8448,,22
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.6818,0.6736,,22
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.8182,0.9369,,22
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.4545,0.4268,,22
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,0.8636,0.8448,,22
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.6364,0.3556,,22
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,0.7727,0.8525,,22
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.8182,0.9369,,22
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.8636,0.8448,,22
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,0.8636,0.8448,,22
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,0.8636,0.8448,,22
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,0.7273,0.7533,,22
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.5909,0.6162,,22
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,0.8636,0.8448,,22
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.5,0.5995,,22
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.7273,0.7533,,22
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.5909,0.7443,,22
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.6818,0.6898,,22
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.2273,0.3978,,22
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.0909,0.1251,too-hard+low-disc,22
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.1364,0.3076,too-hard,22
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.3182,0.2999,low-disc,22
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.6818,0.5816,,22
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.4091,0.5622,,22
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.5909,0.7187,,22
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),0.8182,0.9369,,22
tom_12dim_freeresponse,HE_FR_03,Hidden Emotion (Appearance vs. Reality),0.6818,0.7926,,22
tom_12dim_freeresponse,HE_FR_04,Hidden Emotion (Appearance vs. Reality),0.7727,0.8044,,22
tom_12dim_freeresponse,HE_FR_05,Hidden Emotion (Appearance vs. Reality),0.4091,0.5417,,22
tom_12dim_freeresponse,IA_FR_01,Intention vs. Accident,0.8182,0.9369,,22
tom_12dim_freeresponse,IA_FR_02,Intention vs. Accident,0.3182,0.4459,,22
tom_12dim_freeresponse,IA_FR_03,Intention vs. Accident,0.5909,0.6265,,22
tom_12dim_freeresponse,IA_FR_04,Intention vs. Accident,0.7273,0.8212,,22
tom_12dim_freeresponse,IA_FR_05,Intention vs. Accident,0.7727,0.8525,,22
tom_12dim_freeresponse,IRO_FR_01,Irony,0.8182,0.9369,,22
tom_12dim_freeresponse,IRO_FR_02,Irony,0.8182,0.9369,,22
tom_12dim_freeresponse,IRO_FR_03,Irony,0.8182,0.9369,,22
tom_12dim_freeresponse,IRO_FR_04,Irony,0.6818,0.7709,,22
tom_12dim_freeresponse,IRO_FR_05,Irony,0.8182,0.9369,,22
tom_12dim_freeresponse,KA_FR_01,Knowledge Access / Ignorance,0.8182,0.9369,,22
tom_12dim_freeresponse,KA_FR_02,Knowledge Access / Ignorance,0.8636,0.8448,,22
tom_12dim_freeresponse,KA_FR_03,Knowledge Access / Ignorance,0.2273,0.2776,low-disc,22
tom_12dim_freeresponse,KA_FR_04,Knowledge Access / Ignorance,0.7727,0.9066,,22
