tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.5707070707070707,18,396,0.3276328341450848,0.0,0.9444444444444444,10
First-Order False Belief,0.5822510822510822,21,462,0.3679562733060661,0.0,1.0,4
Second-Order False Belief,0.5861244019138756,19,418,0.36727191159864353,0.0,1.0,7
Sarcasm,0.6090909090909091,15,330,0.34567345789073756,0.0,1.0,9
Knowledge Access / Ignorance,0.6666666666666666,15,330,0.3253000243161777,0.0,1.0,2
Intention vs. Accident,0.6757575757575758,15,330,0.34872129502876875,0.0,1.0,5
White Lies / Prosocial Deception,0.6787878787878788,15,330,0.3334199021786659,0.0,1.0,8
Hidden Emotion (Appearance vs. Reality),0.6994949494949495,18,396,0.3562076901901266,0.0,1.0,6
Diverse Beliefs,0.7247474747474747,18,396,0.3602359246890683,0.0,1.0,1
Diverse Desires,0.7454545454545455,15,330,0.3555375175799685,0.0,1.0,0
Irony,0.7545454545454545,15,330,0.35894399123092846,0.0,1.0,11
Emotion Recognition,0.8128342245989305,17,374,0.3418598216073122,0.0,1.0,3
