PC,eigenvalue,pct_var,parallel_95,retain
1,9.660669522961241,0.8050557935801034,2.6254507761822223,TRUE
2,0.9849113008227669,0.08207594173523057,2.096755438685786,FALSE
3,0.4028430730233427,0.03357025608527856,1.7570981914466857,FALSE
4,0.257843048664789,0.02148692072206575,1.500764699899862,FALSE
5,0.2440137293193314,0.020334477443277616,1.2852463581107227,FALSE
6,0.2084913474262898,0.017374278952190816,1.0943528891660654,FALSE
7,0.09301933370442719,0.0077516111420356,0.9177127261144212,FALSE
8,0.06257117219307966,0.005214264349423305,0.7715299885955144,FALSE
9,0.04089303547770748,0.003407752956475623,0.6272919721308322,FALSE
10,0.021714666688130616,0.0018095555573442179,0.5094857657206319,FALSE
11,0.013134030236945581,0.001094502519745465,0.3832631850214783,FALSE
12,0.00989573948195152,8.246449568292932e-4,0.2706892059581449,FALSE
