model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openai-api/local/meta-llama/llama-3-8b-instruct,tom_12dim_freeresponse,3.098989691921089,0.4069975376441417,Llama,Llama small,0.29568788501026694,2024-04-18,7.037548094230215
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_freeresponse,4.525073106397871,0.5132337712727185,Llama,Llama large,0.29568788501026694,2024-04-18,7.3701090075446
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,3.098989691921088,0.4069975376441415,Llama,Llama small,0.5585215605749486,2024-07-23,7.037548094230214
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_freeresponse,1.6201232479361398,0.3735317044986961,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.6926782427972435
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_freeresponse,3.82823350531356,0.45227986043849283,Qwen,Qwen large,0.09308692676249145,2024-02-04,7.207606862285969
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_freeresponse,2.475605880726298,0.3850155009387942,Qwen,Qwen small,0.42984257357973993,2024-06-06,6.892175749603092
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_freeresponse,4.27216025932186,0.4918668752512177,Qwen,Qwen large,0.42984257357973993,2024-06-06,7.311130040004052
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_freeresponse,2.936263063032704,0.3999831506197848,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.999600442799497
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_freeresponse,-5.335050424105872,0.5101014739372383,Qwen,Qwen large,0.7173169062286106,2024-09-19,5.070740223496258
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_freeresponse,0.6313955527642079,0.38114509707846994,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.462108149920703
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_freeresponse,2.1841638296626456,0.37888242969194263,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.824211818674476
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_freeresponse,2.0414568404321565,0.3767441847503382,Mistral,Mistral small,0.3887748117727584,2024-05-22,6.790932722800375
openai-api/local/mistralai/mixtral-8x7b-instruct,tom_12dim_freeresponse,-5.335050424105872,0.5101014739372383,Mistral,Mistral MoE,-0.05749486652977412,2023-12-11,5.070740223496258
openai-api/local/mistralai/mixtral-8x7b-instruct,tom_12dim_mcq,-5.724829022158674,0.2684925865937367,Mistral,Mistral MoE,-0.05749486652977412,2023-12-11,5.189567998550681
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_mcq,-3.1444577767722293,0.3291691102297571,Mistral,Mistral small,0.3887748117727584,2024-05-22,5.639604126211783
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_mcq,0.5164110582070085,0.2205551814386154,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.278087149658484
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_mcq,1.0959825322341388,0.2200079815455814,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.379168768181537
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_mcq,-5.724829022158674,0.2684925865937367,Qwen,Qwen large,0.7173169062286106,2024-09-19,5.189567998550681
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_mcq,3.846910307969417,0.3389237611072221,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.858951235871323
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_mcq,5.706564394564358,0.2798517046385259,Qwen,Qwen large,0.42984257357973993,2024-06-06,7.183288877370267
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_mcq,3.7355729910832727,0.32860966307237693,Qwen,Qwen small,0.42984257357973993,2024-06-06,6.839533171495817
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_mcq,3.0962467795111874,0.28068782650195234,Qwen,Qwen large,0.09308692676249145,2024-02-04,6.7280298778970495
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_mcq,1.4883164522142336,0.2234820200729923,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.447594750843384
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_mcq,3.2596575898632314,0.2912687608631882,Llama,Llama small,0.5585215605749486,2024-07-23,6.756529950683197
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_mcq,5.614008340383971,0.32875625252625346,Llama,Llama large,0.29568788501026694,2024-04-18,7.167146406286152
openai-api/local/meta-llama/llama-3-8b-instruct,tom_12dim_mcq,3.1764412295111044,0.2857488483485554,Llama,Llama small,0.29568788501026694,2024-04-18,6.742016392357867
