model,family,tier,task,tom_dimension,validated_age_band,dim_rank,date_years,release_date,n,n_correct,accuracy,wilson_lo,wilson_hi,chance,pass
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Beliefs,3-4 yrs,1,0.29568788501026694,2024-04-18,2,2,1,0.34237195288961925,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Beliefs,4-5 yrs,1,0.29568788501026694,2024-04-18,3,3,1,0.43849391955098227,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Desires,2-3 yrs,0,0.29568788501026694,2024-04-18,2,2,1,0.34237195288961925,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Diverse Desires,3-4 yrs,0,0.29568788501026694,2024-04-18,3,3,1,0.43849391955098227,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,4-6 yrs,3,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,6-8 yrs,3,0.29568788501026694,2024-04-18,3,3,1,0.43849391955098227,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Emotion Recognition,6-9 yrs,3,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Faux Pas Detection,10-12 yrs,10,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Faux Pas Detection,9-11 yrs,10,0.29568788501026694,2024-04-18,4,2,0.5,0.15003570882017148,0.8499642911798285,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,First-Order False Belief,4-5 yrs,4,0.29568788501026694,2024-04-18,4,3,0.75,0.3006360524426366,0.9544139373553637,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,First-Order False Belief,5-6 yrs,4,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),4-6 yrs,6,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),6-8 yrs,6,0.29568788501026694,2024-04-18,3,3,1,0.43849391955098227,1,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),8-10 yrs,6,0.29568788501026694,2024-04-18,1,1,1,0.20654329147389294,1,0,1
