type,label,value,task
item,DD_08,1.8550720766419528,tom_12dim_mcq
item,DD_09,1.076703725688854,tom_12dim_mcq
item,DD_10,1.0767037256888539,tom_12dim_mcq
item,ER_01,-4.056190182333745,tom_12dim_mcq
item,ER_02,-4.056190182333745,tom_12dim_mcq
item,ER_03,-4.056190182333745,tom_12dim_mcq
item,ER_04,-1.7040938597731952,tom_12dim_mcq
item,ER_05,-1.7040938597731954,tom_12dim_mcq
item,ER_06,-4.056190182333745,tom_12dim_mcq
item,ER_07,-1.7040938597731952,tom_12dim_mcq
item,ER_08,-1.7040938597731952,tom_12dim_mcq
item,ER_09,-4.056190182333745,tom_12dim_mcq
item,ER_10,-4.056190182333745,tom_12dim_mcq
item,ER_11,-1.7040938597731952,tom_12dim_mcq
item,ER_12,-4.056190182333745,tom_12dim_mcq
item,FOFB_01,0.07142497709380205,tom_12dim_mcq
item,FOFB_02,-1.7040938597731952,tom_12dim_mcq
item,FOFB_03,1.855072076641953,tom_12dim_mcq
item,FOFB_04,-1.7040938597731952,tom_12dim_mcq
item,FOFB_05,3.78411883103574,tom_12dim_mcq
item,FOFB_06,1.8550720766419533,tom_12dim_mcq
item,FOFB_07,1.855072076641953,tom_12dim_mcq
item,FOFB_08,4.454637214993486,tom_12dim_mcq
item,FOFB_09,3.161194135593653,tom_12dim_mcq
item,FOFB_10,1.0767037256888539,tom_12dim_mcq
item,FOFB_11,1.0767037256888539,tom_12dim_mcq
item,FOFB_12,1.0767037256888539,tom_12dim_mcq
item,FOFB_13,2.5330785045569555,tom_12dim_mcq
item,FOFB_14,2.5330785045569555,tom_12dim_mcq
item,FOFB_15,3.78411883103574,tom_12dim_mcq
item,FOFB_16,1.0767037256888539,tom_12dim_mcq
item,FP_01,1.0767037256888539,tom_12dim_mcq
item,FP_02,2.5330785045569573,tom_12dim_mcq
item,FP_03,1.0767037256888539,tom_12dim_mcq
item,FP_04,-1.7040938597731952,tom_12dim_mcq
item,FP_05,1.8550720766419533,tom_12dim_mcq
item,FP_06,-1.7040938597731952,tom_12dim_mcq
item,FP_07,0.071424977093802,tom_12dim_mcq
item,FP_08,3.1611941355936524,tom_12dim_mcq
item,FP_09,1.076703725688854,tom_12dim_mcq
item,FP_10,1.0767037256888539,tom_12dim_mcq
item,FP_11,-1.7040938597731952,tom_12dim_mcq
item,FP_12,0.07142497709380195,tom_12dim_mcq
item,FP_13,1.8550720766419528,tom_12dim_mcq
item,HE_01,-4.056190182333745,tom_12dim_mcq
item,HE_02,-1.7040938597731952,tom_12dim_mcq
item,HE_03,3.1611941355936506,tom_12dim_mcq
item,HE_04,1.0767037256888539,tom_12dim_mcq
item,HE_05,0.07142497709380183,tom_12dim_mcq
item,HE_06,0.071424977093802,tom_12dim_mcq
item,HE_07,-1.7040938597731952,tom_12dim_mcq
item,HE_08,1.8550720766419528,tom_12dim_mcq
item,HE_09,1.855072076641953,tom_12dim_mcq
item,HE_10,1.076703725688854,tom_12dim_mcq
item,HE_11,1.0767037256888539,tom_12dim_mcq
item,HE_12,0.07142497709380183,tom_12dim_mcq
item,HE_13,0.07142497709380195,tom_12dim_mcq
item,IA_01,0.071424977093802,tom_12dim_mcq
item,IA_02,0.07142497709380195,tom_12dim_mcq
item,IA_03,1.855072076641953,tom_12dim_mcq
item,IA_04,1.0767037256888539,tom_12dim_mcq
item,IA_05,0.071424977093802,tom_12dim_mcq
item,IA_06,1.8550720766419533,tom_12dim_mcq
item,IA_07,1.0767037256888539,tom_12dim_mcq
item,IA_08,0.071424977093802,tom_12dim_mcq
item,IA_09,-1.7040938597731954,tom_12dim_mcq
item,IA_10,1.0767037256888539,tom_12dim_mcq
item,IRO_01,-4.056190182333745,tom_12dim_mcq
item,IRO_02,-1.7040938597731952,tom_12dim_mcq
item,IRO_03,0.07142497709380183,tom_12dim_mcq
item,IRO_04,1.076703725688854,tom_12dim_mcq
item,IRO_05,1.855072076641953,tom_12dim_mcq
item,IRO_06,0.07142497709380197,tom_12dim_mcq
item,IRO_07,0.071424977093802,tom_12dim_mcq
item,IRO_08,0.07142497709380183,tom_12dim_mcq
item,IRO_09,-4.056190182333745,tom_12dim_mcq
item,IRO_10,-1.7040938597731952,tom_12dim_mcq
item,KA_01,1.855072076641953,tom_12dim_mcq
item,KA_02,1.855072076641953,tom_12dim_mcq
item,KA_03,1.8550720766419528,tom_12dim_mcq
item,KA_04,-1.7040938597731954,tom_12dim_mcq
item,KA_05,0.07142497709380195,tom_12dim_mcq
item,KA_06,1.076703725688854,tom_12dim_mcq
item,KA_07,-1.7040938597731952,tom_12dim_mcq
item,KA_08,-4.056190182333745,tom_12dim_mcq
item,KA_09,1.855072076641953,tom_12dim_mcq
item,KA_10,1.0767037256888539,tom_12dim_mcq
item,SAR_01,1.855072076641953,tom_12dim_mcq
item,SAR_02,-1.7040938597731952,tom_12dim_mcq
item,SAR_03,0.07142497709380195,tom_12dim_mcq
item,SAR_04,0.071424977093802,tom_12dim_mcq
item,SAR_05,1.8550720766419533,tom_12dim_mcq
item,SAR_06,2.5330785045569533,tom_12dim_mcq
item,SAR_07,3.1611941355936484,tom_12dim_mcq
item,SAR_08,-1.7040938597731952,tom_12dim_mcq
item,SAR_09,3.7841188310357485,tom_12dim_mcq
item,SAR_10,3.7841188310357463,tom_12dim_mcq
item,SOFB_01,4.454637214993486,tom_12dim_mcq
item,SOFB_02,1.8550720766419533,tom_12dim_mcq
item,SOFB_03,0.07142497709380183,tom_12dim_mcq
item,SOFB_04,2.533078504556956,tom_12dim_mcq
item,SOFB_05,2.5330785045569555,tom_12dim_mcq
item,SOFB_06,1.0767037256888539,tom_12dim_mcq
item,SOFB_07,3.161194135593651,tom_12dim_mcq
item,SOFB_08,2.533078504556951,tom_12dim_mcq
item,SOFB_09,2.533078504556956,tom_12dim_mcq
item,SOFB_10,1.8550720766419533,tom_12dim_mcq
item,SOFB_11,1.8550720766419533,tom_12dim_mcq
item,SOFB_12,1.8550720766419533,tom_12dim_mcq
item,SOFB_13,3.1611941355936493,tom_12dim_mcq
item,SOFB_14,-1.7040938597731952,tom_12dim_mcq
item,WL_01,0.071424977093802,tom_12dim_mcq
item,WL_02,1.076703725688854,tom_12dim_mcq
item,WL_03,0.07142497709380183,tom_12dim_mcq
item,WL_04,1.0767037256888539,tom_12dim_mcq
item,WL_05,0.07142497709380205,tom_12dim_mcq
item,WL_06,-4.056190182333745,tom_12dim_mcq
item,WL_07,-1.7040938597731952,tom_12dim_mcq
item,WL_08,1.8550720766419528,tom_12dim_mcq
item,WL_09,1.8550720766419533,tom_12dim_mcq
item,WL_10,1.076703725688854,tom_12dim_mcq
