family,dim_rank,tom_dimension,validated_age_band,slope_logodds,slope_or,se,lo,hi
Llama,0,Diverse Desires,2-3 yrs,2.441007771909118,11.484608778959487,2.0624795395682485,0.20160355164676408,654.2356904349227
Llama,1,Diverse Beliefs,3-4 yrs,2.4852201269711074,12.003762315866565,2.0270621468919505,0.22586412418467466,637.9512915384682
Llama,2,Knowledge Access / Ignorance,3-4 yrs,2.529432482033097,12.546383817601223,1.998137348394713,0.2498444584812446,630.0389764713652
Llama,3,Emotion Recognition,3-4 yrs,2.5736448370950864,13.113534136751367,1.9759902829216056,0.2727236909414295,630.5457987977834
Llama,4,First-Order False Belief,4-5 yrs,2.617857192157076,13.706322080988418,1.9608506197093298,0.29363727775438847,639.7800252900046
Llama,5,Intention vs. Accident,4-5 yrs,2.662069547219065,14.325906580842608,1.9528813396853941,0.3117424606847992,658.3370096976871
Llama,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,2.7062819022810545,14.973498955471033,1.9521702590787202,0.32628899404407585,687.1383192876126
Llama,7,Second-Order False Belief,6-7 yrs,2.750494257343044,15.650365280848076,1.958725282788436,0.33668506967015027,727.4867687597078
Llama,8,White Lies / Prosocial Deception,5-7 yrs,2.7947066124050335,16.357828865008244,1.9724739709058017,0.3425483817849107,781.1409406829777
Llama,9,Sarcasm,6-8 yrs,2.838918967467023,17.09727283518057,1.9932674727266952,0.34373465222277905,850.4139356050406
Llama,10,Faux Pas Detection,9-11 yrs,2.8831313225290125,17.87014284187256,2.020888341601963,0.3403401136831125,938.3025754239046
Llama,11,Irony,6-8 yrs,2.927343677591002,18.677949885190355,2.055061308106963,0.3326792433810827,1048.6551801912635
Qwen,0,Diverse Desires,2-3 yrs,0.9909631598801688,2.693827810120123,0.7719682034783903,0.5932766165974221,12.231576414043536
Qwen,1,Diverse Beliefs,3-4 yrs,1.04753201587228,2.8506071762049294,0.7067653612415674,0.7133892376546973,11.390641804108997
Qwen,2,Knowledge Access / Ignorance,3-4 yrs,1.1041008718643912,3.016511019191196,0.6492031595861855,0.8450687272366434,10.767572430063236
Qwen,3,Emotion Recognition,3-4 yrs,1.1606697278565026,3.19207037885032,0.6014792655436616,0.9819355220511604,10.376764130346585
Qwen,4,First-Order False Belief,4-5 yrs,1.2172385838486137,3.37784720118995,0.5660874219038011,1.1137216410720825,10.244796629437419
Qwen,5,Intention vs. Accident,4-5 yrs,1.273807439840725,3.574436137180734,0.5454335243574006,1.2272277110648684,10.41093970058519
Qwen,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,1.3303762958328362,3.7824664461680144,0.5412075273355604,1.3094530648117584,10.925975738155696
Qwen,7,Second-Order False Belief,6-7 yrs,1.3869451518249476,4.002604010061094,0.5537856477852245,1.3519192941539329,11.85044028192779
Qwen,8,White Lies / Prosocial Deception,5-7 yrs,1.4435140078170587,4.235553464747248,0.58207954579904575,1.3534245688111701,13.255199858305067
Qwen,9,Sarcasm,6-8 yrs,1.5000828638091699,4.482060455552932,0.6239549258390701,1.3193394691082394,15.226457176188108
Qwen,10,Faux Pas Detection,9-11 yrs,1.5566517198012813,4.742914023971633,0.676895855517338,1.2585192645028755,17.874365592387317
Qwen,11,Irony,6-8 yrs,1.6132205757933926,5.018949133298036,0.7385264699729807,1.1802292445445197,21.343184401734177
