family,tier,model,date_years,release_date,accuracy,n
Llama,Llama frontier,openrouter/meta-llama/llama-4-maverick,1.2594113620807663,2025-04-05,0.9601990049751243,201
Llama,Llama frontier,openrouter/meta-llama/llama-4-scout,1.2594113620807663,2025-04-05,0.9502487562189055,201
Llama,Llama large,openrouter/meta-llama/llama-3.1-70b-instruct,0.5585215605749486,2024-07-23,0.945273631840796,201
Llama,Llama large,openrouter/meta-llama/llama-3.3-70b-instruct,0.9308692676249144,2024-12-06,0.9751243781094527,201
Llama,Llama small,openrouter/meta-llama/llama-3.1-8b-instruct,0.5585215605749486,2024-07-23,0.8258706467661692,201
Llama,Llama small,openrouter/meta-llama/llama-3.2-3b-instruct,0.7337440109514032,2024-09-25,0.5074626865671642,201
Qwen,Qwen large,openrouter/qwen/qwen-2.5-72b-instruct,0.7173169062286106,2024-09-19,0.9651741293532339,201
Qwen,Qwen large,openrouter/qwen/qwen3.5-397b-a17b,2.127310061601643,2026-02-16,0.9701492537313433,201
Qwen,Qwen mid,openrouter/qwen/qwen3-32b,1.325119780971937,2025-04-29,0.9701492537313433,201
Qwen,Qwen mid,openrouter/qwen/qwen3.5-27b,2.1492128678986995,2026-02-24,0.9850746268656716,201
Qwen,Qwen mid,openrouter/qwen/qwen3.6-27b,2.305270362765229,2026-04-22,0.9800995024875622,201
Qwen,Qwen small,openrouter/qwen/qwen-2.5-7b-instruct,0.7173169062286106,2024-09-19,0.8706467661691543,201
Qwen,Qwen small,openrouter/qwen/qwen3.5-9b,2.1656399726214923,2026-03-02,0.9502487562189055,201
