effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,family,model_label
fixed,(Intercept),45.236675360741934,16.85386220298176,10.231367139753088,1.4347937587683916e-24,21.795050484386536,93.89089505248535,Llama,M1_date_x_tier
fixed,date_c,2.399227586628386e-6,4.2965361328306035e-6,-7.2260250204718615,4.973361557636059e-13,7.173646072974713e-8,8.024222207064773e-5,Llama,M1_date_x_tier
fixed,tierLlama large,8.687108982931244,9.408764673607354,1.9960262668709423,0.04593106376565021,1.039830843005434,72.57513372387082,Llama,M1_date_x_tier
fixed,tierLlama small,1.63993642445871e-5,1.963324789706347e-5,-9.20339777967386,3.4680625965880126e-20,1.569539350448859e-6,1.7134909522958453e-4,Llama,M1_date_x_tier
fixed,date_c:tierLlama large,6281850.905185466,15514266.250530057,6.3380962637369125,2.3262147979492964e-10,49645.28512740027,794872074.8347511,Llama,M1_date_x_tier
fixed,(Intercept),8457.814838235025,9912.622878734695,7.715689286178128,1.2033013119294235e-14,850.4397179011982,84114.87649519602,Qwen,M1_date_x_tier
fixed,date_c,1.224374706650458,0.6577204548362418,0.3768325901672785,0.7062980196448629,0.42722667512872203,3.5088947145768072,Qwen,M1_date_x_tier
fixed,tierQwen mid,1.18665684760297,0.8195180351553322,0.24780959348688764,0.8042817318835178,0.3065322483880667,4.5938216333451125,Qwen,M1_date_x_tier
fixed,tierQwen small,0.11565776856602884,0.059436092022804005,-4.197578353399603,2.697843303368236e-5,0.04224210378088065,0.31666792684050876,Qwen,M1_date_x_tier
fixed,date_c:tierQwen mid,2.2678165757406052,2.256128341393292,0.8230595229898454,0.4104741453458113,0.32269589454148434,15.9375811970322,Qwen,M1_date_x_tier
fixed,date_c:tierQwen small,3.8793354260534483,2.667981243403428,1.9711813339618032,0.048703138187248016,1.007744474924014,14.933590530444764,Qwen,M1_date_x_tier
fixed,(Intercept),82.87631623897609,90.8149753385604,4.0312034297869355,5.5491986375547505e-5,9.675935157912496,709.8521932245553,Llama,M2_date_x_dimrank
fixed,date_c,11.484608778959487,23.686770626549826,1.183530660585418,0.2365989025560454,0.20161852754647944,654.1870948608483,Llama,M2_date_x_dimrank
fixed,dim_rank,0.9774599482150568,0.07516913932956086,-0.2964527014351094,0.7668843830929731,0.8406968536091011,1.1364714239894453,Llama,M2_date_x_dimrank
fixed,date_c:dim_rank,1.0452042857444304,0.12457857243110693,0.370938132391916,0.7106836125099742,0.8274579279227423,1.3202508092236496,Llama,M2_date_x_dimrank
fixed,(Intercept),10306.057297793684,12412.555451184926,7.672311295478443,1.6892437250569863e-14,972.5464794871159,109213.10113776787,Qwen,M2_date_x_dimrank
fixed,date_c,2.693827810120123,2.079549415058558,1.283683907465379,0.1992525773747012,0.5932931115718554,12.231236346821628,Qwen,M2_date_x_dimrank
fixed,dim_rank,0.9407055867321218,0.11806340134249949,-0.4870322709997329,0.6262354618788806,0.7355692081725876,1.2030506321865961,Qwen,M2_date_x_dimrank
fixed,date_c:dim_rank,1.0581994756664923,0.1014026180779133,0.5903312447407499,0.554968595991425,0.8770020905254702,1.2768340490840802,Qwen,M2_date_x_dimrank
fixed,(Intercept),9.866265354928876,3.0989413290052576,7.287998302631533,3.1459393568167675e-13,5.330831147967405,18.260415562212255,Llama,M3_date_x_task
fixed,date_c,5.292593877325657,2.705290285837771,3.2599436770817265,0.001114343402204414,1.9434795222135615,14.413092409844774,Llama,M3_date_x_task
fixed,tasktom_12dim_mcq,3.762314025743961,1.5982322709358676,3.119192903129131,0.0018134719168065036,1.6363053038031625,8.650590324073464,Llama,M3_date_x_task
fixed,date_c:tasktom_12dim_mcq,2.792218502136639,1.950263068433991,1.4701358797134088,0.14152495652383332,0.7102579139918301,10.976976123864574,Llama,M3_date_x_task
fixed,(Intercept),36.35710099653665,23.369095915983387,5.590512646874892,2.2640019416265e-8,10.314926252395269,128.14815739137418,Qwen,M3_date_x_task
fixed,date_c,2.6972815034298665,0.8587489460364036,3.116583164837374,0.0018296006677127406,1.4451880717891747,5.034173510536844,Qwen,M3_date_x_task
fixed,tasktom_12dim_mcq,7.6115779898294855,4.166807076508627,3.7076339460787877,2.092047663630017e-4,2.6031628391354156,22.25604892028149,Qwen,M3_date_x_task
fixed,date_c:tasktom_12dim_mcq,1.3435278649630749,0.6869051121155394,0.577579463959722,0.5635480749606513,0.4932341129788376,3.659655884364359,Qwen,M3_date_x_task
fixed,(Intercept),104.89009832848545,90.76109707096643,5.377243448566265,7.56348739243566e-8,19.239433155383843,571.842872838519,ALL,M4_date_x_family
fixed,date_c,19.39399975466715,31.62266638062051,1.818395232913759,0.06900374645718557,0.7938717754621991,473.7883851142644,ALL,M4_date_x_family
fixed,familyQwen,0.8640890166216597,0.8432488247408502,-0.14968971975588535,0.8810094192385652,0.1276104711349508,5.851007538845214,ALL,M4_date_x_family
fixed,date_c:familyQwen,0.13096147341915593,0.23168325910791637,-1.149091680767193,0.25051817843050495,0.004085896347523594,4.1975875209147695,ALL,M4_date_x_family
