type,label,value,task
item,DBEL_01,-4.5012121107798615,tom_12dim_mcq
item,DBEL_02,-4.5012121107798615,tom_12dim_mcq
item,DBEL_03,-4.5012121107798615,tom_12dim_mcq
item,DBEL_07,-4.5012121107798615,tom_12dim_mcq
item,DBEL_08,-4.5012121107798615,tom_12dim_mcq
item,DD_01,-4.5012121107798615,tom_12dim_mcq
item,DD_03,-4.5012121107798615,tom_12dim_mcq
item,DD_05,-2.6916164015957436,tom_12dim_mcq
item,DD_06,-2.6916164015957436,tom_12dim_mcq
item,DD_07,-4.5012121107798615,tom_12dim_mcq
item,DD_08,-4.5012121107798615,tom_12dim_mcq
item,DD_09,-4.5012121107798615,tom_12dim_mcq
item,DD_10,-4.5012121107798615,tom_12dim_mcq
item,FOFB_01,-2.6916164015957436,tom_12dim_mcq
item,FOFB_03,-2.691616401595743,tom_12dim_mcq
item,FOFB_04,-4.5012121107798615,tom_12dim_mcq
item,FOFB_05,-1.6460897477914644,tom_12dim_mcq
item,FOFB_08,-1.6460897477914644,tom_12dim_mcq
item,FOFB_09,-4.5012121107798615,tom_12dim_mcq
item,FOFB_11,-4.5012121107798615,tom_12dim_mcq
item,FOFB_13,-4.5012121107798615,tom_12dim_mcq
item,FOFB_14,-2.6916164015957436,tom_12dim_mcq
item,FOFB_15,-2.6916164015957436,tom_12dim_mcq
item,FP_01,-4.5012121107798615,tom_12dim_mcq
item,FP_03,-4.5012121107798615,tom_12dim_mcq
item,FP_04,-4.5012121107798615,tom_12dim_mcq
item,FP_05,-4.5012121107798615,tom_12dim_mcq
item,FP_06,-2.691616401595743,tom_12dim_mcq
item,FP_08,-4.5012121107798615,tom_12dim_mcq
item,FP_09,-4.5012121107798615,tom_12dim_mcq
item,FP_10,-4.5012121107798615,tom_12dim_mcq
item,FP_11,-4.5012121107798615,tom_12dim_mcq
item,FP_12,-4.5012121107798615,tom_12dim_mcq
item,HE_01,-2.6916164015957436,tom_12dim_mcq
item,HE_02,-4.5012121107798615,tom_12dim_mcq
item,HE_03,-2.6916164015957436,tom_12dim_mcq
item,HE_05,-4.5012121107798615,tom_12dim_mcq
item,HE_06,-4.5012121107798615,tom_12dim_mcq
item,HE_09,-4.5012121107798615,tom_12dim_mcq
item,HE_10,-4.5012121107798615,tom_12dim_mcq
item,HE_12,-4.5012121107798615,tom_12dim_mcq
item,IA_01,-4.5012121107798615,tom_12dim_mcq
item,IA_03,-4.5012121107798615,tom_12dim_mcq
item,IA_05,-1.646089747791466,tom_12dim_mcq
item,IRO_04,-4.5012121107798615,tom_12dim_mcq
item,IRO_05,-4.5012121107798615,tom_12dim_mcq
item,IRO_07,-4.5012121107798615,tom_12dim_mcq
item,KA_01,-4.5012121107798615,tom_12dim_mcq
item,KA_03,-1.6460897477914656,tom_12dim_mcq
item,KA_04,-4.5012121107798615,tom_12dim_mcq
item,KA_05,-4.5012121107798615,tom_12dim_mcq
item,KA_06,-4.5012121107798615,tom_12dim_mcq
item,KA_07,-4.501212110779863,tom_12dim_mcq
item,KA_08,-4.5012121107798615,tom_12dim_mcq
item,KA_09,-4.5012121107798615,tom_12dim_mcq
item,SAR_03,-4.5012121107798615,tom_12dim_mcq
