model,family,tier,task,frontier_band,guttman_cr,scalability,date_years,release_date,frontier_age_lo,frontier_age_mid,spearman_rho,spearman_p
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,10-12 yrs,0.9036,0.8071,0.5585215605749486,2024-07-23,10,11,0,1
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8275,0.655,0.5585215605749486,2024-07-23,4,5,0,1
openrouter/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,10-12 yrs,0.9356,0.8712,0.5585215605749486,2024-07-23,10,11,NA,NA
openrouter/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,NA,0.8712,0.7425,0.5585215605749486,2024-07-23,NA,NA,NA,NA
openrouter/meta-llama/llama-3.2-3b-instruct,Llama,Llama small,tom_12dim_freeresponse,3-5 yrs,0.7527,0.5054,0.7337440109514032,2024-09-25,3,4,NA,NA
openrouter/meta-llama/llama-3.2-3b-instruct,Llama,Llama small,tom_12dim_mcq,NA,0.9363,0.8726,0.7337440109514032,2024-09-25,NA,NA,NA,NA
openrouter/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,10-12 yrs,1,1,0.9308692676249144,2024-12-06,10,11,0,1
openrouter/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8275,0.655,0.9308692676249144,2024-12-06,4,5,0,1
openrouter/meta-llama/llama-4-maverick,Llama,Llama frontier,tom_12dim_freeresponse,10-12 yrs,0.9464,0.8928,1.2594113620807663,2025-04-05,10,11,NA,NA
openrouter/meta-llama/llama-4-maverick,Llama,Llama frontier,tom_12dim_mcq,4-5 yrs,0.803,0.606,1.2594113620807663,2025-04-05,4,4.5,NA,NA
openrouter/meta-llama/llama-4-scout,Llama,Llama frontier,tom_12dim_freeresponse,10-12 yrs,0.9456,0.8911,1.2594113620807663,2025-04-05,10,11,NA,NA
openrouter/meta-llama/llama-4-scout,Llama,Llama frontier,tom_12dim_mcq,4-6 yrs,0.8275,0.655,1.2594113620807663,2025-04-05,4,5,NA,NA
openrouter/qwen/qwen-2.5-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,0.9792,0.9584,0.7173169062286106,2024-09-19,10,11,-0.2357,0.7642977396044841
openrouter/qwen/qwen-2.5-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,4-6 yrs,0.8275,0.655,0.7173169062286106,2024-09-19,4,5,-0.2357,0.7642977396044841
openrouter/qwen/qwen-2.5-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9044,0.8088,0.7173169062286106,2024-09-19,10,11,0.2357,0.7642977396044841
openrouter/qwen/qwen-2.5-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,4-5 yrs,0.872,0.7441,0.7173169062286106,2024-09-19,4,4.5,0.2357,0.7642977396044841
openrouter/qwen/qwen3-32b,Qwen,Qwen mid,tom_12dim_freeresponse,10-12 yrs,0.9464,0.8928,1.325119780971937,2025-04-29,10,11,0.1936,0.7131571709215132
openrouter/qwen/qwen3-32b,Qwen,Qwen mid,tom_12dim_mcq,4-5 yrs,0.7886,0.5772,1.325119780971937,2025-04-29,4,4.5,0.1936,0.7131571709215132
openrouter/qwen/qwen3.5-27b,Qwen,Qwen mid,tom_12dim_freeresponse,10-12 yrs,0.9988,0.9975,2.1492128678986995,2026-02-24,10,11,0.1936,0.7131571709215132
openrouter/qwen/qwen3.5-27b,Qwen,Qwen mid,tom_12dim_mcq,4-6 yrs,0.8275,0.655,2.1492128678986995,2026-02-24,4,5,0.1936,0.7131571709215132
openrouter/qwen/qwen3.5-397b-a17b,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,0.9817,0.9634,2.127310061601643,2026-02-16,10,11,-0.2357,0.7642977396044841
openrouter/qwen/qwen3.5-397b-a17b,Qwen,Qwen large,tom_12dim_mcq,4-5 yrs,0.803,0.606,2.127310061601643,2026-02-16,4,4.5,-0.2357,0.7642977396044841
openrouter/qwen/qwen3.5-9b,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9622,0.9244,2.1656399726214923,2026-03-02,10,11,0.2357,0.7642977396044841
openrouter/qwen/qwen3.5-9b,Qwen,Qwen small,tom_12dim_mcq,4-6 yrs,0.8275,0.655,2.1656399726214923,2026-03-02,4,5,0.2357,0.7642977396044841
openrouter/qwen/qwen3.6-27b,Qwen,Qwen mid,tom_12dim_freeresponse,10-12 yrs,0.9622,0.9244,2.305270362765229,2026-04-22,10,11,0.1936,0.7131571709215132
openrouter/qwen/qwen3.6-27b,Qwen,Qwen mid,tom_12dim_mcq,4-6 yrs,0.8275,0.655,2.305270362765229,2026-04-22,4,5,0.1936,0.7131571709215132
