model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openrouter/qwen/qwen3.6-27b,tom_12dim_mcq,2.704547274844196,1.3005254323555255,Qwen,Qwen mid,2.305270362765229,2026-04-22,6.7868817926360165
openrouter/qwen/qwen3.5-9b,tom_12dim_mcq,0.6926181649457528,0.7466559061532241,Qwen,Qwen small,2.1656399726214923,2026-03-02,6.633118887531923
openrouter/qwen/qwen3.5-27b,tom_12dim_mcq,1.4087581624758243,0.9648424996362527,Qwen,Qwen mid,2.1492128678986995,2026-02-24,6.687850322123582
openrouter/qwen/qwen3.5-397b-a17b,tom_12dim_mcq,0.6926181649457539,0.7466559061532245,Qwen,Qwen large,2.127310061601643,2026-02-16,6.633118887531923
openrouter/qwen/qwen3-32b,tom_12dim_mcq,0.6926181649457485,0.7466559061532186,Qwen,Qwen mid,1.325119780971937,2025-04-29,6.633118887531922
openrouter/meta-llama/llama-4-maverick,tom_12dim_mcq,0.2267354720837233,0.6272715656524257,Llama,Llama frontier,1.2594113620807663,2025-04-05,6.597513519559589
openrouter/meta-llama/llama-4-scout,tom_12dim_mcq,0.6926181649457489,0.7466559061532198,Llama,Llama frontier,1.2594113620807663,2025-04-05,6.633118887531922
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_mcq,2.704547274844196,1.3005254323555255,Llama,Llama large,0.9308692676249144,2024-12-06,6.7868817926360165
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_mcq,-5.6337800786619,0.24507560666048814,Llama,Llama small,0.7337440109514032,2024-09-25,6.149620056486306
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_mcq,2.704547274844196,1.3005254323555255,Qwen,Qwen large,0.7173169062286106,2024-09-19,6.7868817926360165
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_mcq,-1.5943994727317792,0.35535495176137066,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.45833217448946
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_mcq,0.6926181649457531,0.7466559061532234,Llama,Llama large,0.5585215605749486,2024-07-23,6.633118887531923
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_mcq,-2.6126895081474344,0.2922242429288633,Llama,Llama small,0.5585215605749486,2024-07-23,6.380508739601157
openrouter/qwen/qwen3.6-27b,tom_12dim_freeresponse,1.1323571057267499,0.6388765529122057,Qwen,Qwen mid,2.305270362765229,2026-04-22,7.679581872970323
openrouter/qwen/qwen3.5-9b,tom_12dim_freeresponse,-0.10959515298431766,0.493099707586839,Qwen,Qwen small,2.1656399726214923,2026-03-02,7.117997989012517
openrouter/qwen/qwen3.5-27b,tom_12dim_freeresponse,2.141945565715397,0.7976770863585061,Qwen,Qwen mid,2.1492128678986995,2026-02-24,8.13609588514968
openrouter/qwen/qwen3.5-397b-a17b,tom_12dim_freeresponse,1.1323571057267496,0.6388765529122059,Qwen,Qwen large,2.127310061601643,2026-02-16,7.679581872970323
openrouter/qwen/qwen3-32b,tom_12dim_freeresponse,1.1323571057267499,0.6388765529122061,Qwen,Qwen mid,1.325119780971937,2025-04-29,7.679581872970323
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,0.7561815109577952,0.589563060412437,Llama,Llama frontier,1.2594113620807663,2025-04-05,7.509483425080118
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,-0.10959515298431732,0.49309970758683946,Llama,Llama frontier,1.2594113620807663,2025-04-05,7.117997989012517
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,0.7561815109577947,0.5895630604124369,Llama,Llama large,0.9308692676249144,2024-12-06,7.509483425080117
openrouter/meta-llama/llama-3.2-3b-instruct,tom_12dim_freeresponse,-4.2295327370962665,0.4292057043775524,Llama,Llama small,0.7337440109514032,2024-09-25,5.25505154004793
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,0.14619779580530773,0.5191188673095108,Qwen,Qwen large,0.7173169062286106,2024-09-19,7.233662014471419
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_freeresponse,-1.2833347382846039,0.4047883475111226,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.587258397015601
openrouter/meta-llama/llama-3.1-70b-instruct,tom_12dim_freeresponse,-0.3419022066579971,0.471430670921325,Llama,Llama large,0.5585215605749486,2024-07-23,7.012953776114789
openrouter/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,-1.1157999169766257,0.4140711837403271,Llama,Llama small,0.5585215605749486,2024-07-23,6.663014010798981
