model,family,tier,task,created,log_file,item_id,correct,tom_dimension,tom_construct,validated_age_band,age_lo,age_hi,age_mid,dim_rank,literature_basis,date_years,release_date,params_b,log_params
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,DD_10,1,Diverse Desires,Desire / intention inference,3-4 yrs,3.0,4.0,3.5,0,Wellman & Liu (2004) ToM Scale - Diverse Desires task,2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_01,1,Emotion Recognition,Emotion recognition,3-4 yrs,3.0,4.0,3.5,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_02,1,Emotion Recognition,Emotion recognition,3-4 yrs,3.0,4.0,3.5,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_03,1,Emotion Recognition,Emotion recognition,3-4 yrs,3.0,4.0,3.5,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_04,1,Emotion Recognition,Emotion recognition,3-4 yrs,3.0,4.0,3.5,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_05,1,Emotion Recognition,Emotion recognition,3-5 yrs,3.0,5.0,4.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_06,1,Emotion Recognition,Emotion recognition,6-8 yrs,6.0,8.0,7.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_07,1,Emotion Recognition,Emotion recognition,6-8 yrs,6.0,8.0,7.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_08,1,Emotion Recognition,Emotion recognition,6-8 yrs,6.0,8.0,7.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_09,1,Emotion Recognition,Emotion recognition,6-9 yrs,6.0,9.0,7.5,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
