task,scope,kr20,n_items,n_models
tom_12dim_freeresponse,overall,0.9614,60,30
tom_12dim_freeresponse,Diverse Beliefs,0.5766,5,30
tom_12dim_freeresponse,Diverse Desires,0.7414,5,30
tom_12dim_freeresponse,Emotion Recognition,0.7866,5,30
tom_12dim_freeresponse,Faux Pas Detection,0.5991,5,30
tom_12dim_freeresponse,First-Order False Belief,0.8177,5,30
tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),0.7006,5,30
tom_12dim_freeresponse,Intention vs. Accident,0.6786,5,30
tom_12dim_freeresponse,Irony,0.8124,5,30
tom_12dim_freeresponse,Knowledge Access / Ignorance,0.724,5,30
tom_12dim_freeresponse,Sarcasm,0.6963,5,30
tom_12dim_freeresponse,Second-Order False Belief,0.4324,5,30
tom_12dim_freeresponse,White Lies / Prosocial Deception,0.569,5,30
tom_12dim_mcq,overall,0.9952,124,30
tom_12dim_mcq,Diverse Beliefs,0.9786,10,30
tom_12dim_mcq,Diverse Desires,0.9759,10,30
tom_12dim_mcq,Emotion Recognition,0.9808,12,30
tom_12dim_mcq,Faux Pas Detection,0.9614,10,30
tom_12dim_mcq,First-Order False Belief,0.9454,12,30
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9622,10,30
tom_12dim_mcq,Intention vs. Accident,0.9708,10,30
tom_12dim_mcq,Irony,0.9445,10,30
tom_12dim_mcq,Knowledge Access / Ignorance,0.9661,10,30
tom_12dim_mcq,Sarcasm,0.9591,10,30
tom_12dim_mcq,Second-Order False Belief,0.9792,10,30
tom_12dim_mcq,White Lies / Prosocial Deception,0.9484,10,30
