task,scope,kr20,n_items,n_models
tom_12dim_mcq,overall,0.9952,124,19
tom_12dim_mcq,Diverse Beliefs,0.9813,10,19
tom_12dim_mcq,Diverse Desires,0.9718,10,19
tom_12dim_mcq,Emotion Recognition,0.9854,12,19
tom_12dim_mcq,Faux Pas Detection,0.957,10,19
tom_12dim_mcq,First-Order False Belief,0.9449,12,19
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9605,10,19
tom_12dim_mcq,Intention vs. Accident,0.9698,10,19
tom_12dim_mcq,Irony,0.9524,10,19
tom_12dim_mcq,Knowledge Access / Ignorance,0.9652,10,19
tom_12dim_mcq,Sarcasm,0.9532,10,19
tom_12dim_mcq,Second-Order False Belief,0.9749,10,19
tom_12dim_mcq,White Lies / Prosocial Deception,0.9523,10,19
