task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_mcq,DBEL_01,Diverse Beliefs,0.8421,0.8722,,19
tom_12dim_mcq,DBEL_02,Diverse Beliefs,0.7895,0.7578,,19
tom_12dim_mcq,DBEL_03,Diverse Beliefs,0.7895,0.9297,,19
tom_12dim_mcq,DBEL_04,Diverse Beliefs,0.8421,0.8722,,19
tom_12dim_mcq,DBEL_05,Diverse Beliefs,0.7368,0.8742,,19
tom_12dim_mcq,DBEL_06,Diverse Beliefs,0.8421,0.8722,,19
tom_12dim_mcq,DBEL_07,Diverse Beliefs,0.8421,0.8722,,19
tom_12dim_mcq,DBEL_08,Diverse Beliefs,0.8947,0.7235,,19
tom_12dim_mcq,DBEL_09,Diverse Beliefs,0.7895,0.9297,,19
tom_12dim_mcq,DBEL_10,Diverse Beliefs,0.8947,0.7235,,19
tom_12dim_mcq,DD_01,Diverse Desires,0.7368,0.8742,,19
tom_12dim_mcq,DD_02,Diverse Desires,0.7895,0.9297,,19
tom_12dim_mcq,DD_03,Diverse Desires,0.8421,0.8722,,19
tom_12dim_mcq,DD_04,Diverse Desires,0.8421,0.8722,,19
tom_12dim_mcq,DD_05,Diverse Desires,0.7368,0.8486,,19
tom_12dim_mcq,DD_06,Diverse Desires,0.6842,0.7655,,19
tom_12dim_mcq,DD_07,Diverse Desires,0.7895,0.7578,,19
tom_12dim_mcq,DD_08,Diverse Desires,0.7895,0.9297,,19
tom_12dim_mcq,DD_09,Diverse Desires,0.7368,0.6782,,19
tom_12dim_mcq,DD_10,Diverse Desires,0.7368,0.8401,,19
tom_12dim_mcq,ER_01,Emotion Recognition,0.8947,0.7235,,19
tom_12dim_mcq,ER_02,Emotion Recognition,0.7895,0.9297,,19
tom_12dim_mcq,ER_03,Emotion Recognition,0.8421,0.7762,,19
tom_12dim_mcq,ER_04,Emotion Recognition,0.7895,0.9297,,19
tom_12dim_mcq,ER_05,Emotion Recognition,0.7895,0.9297,,19
tom_12dim_mcq,ER_06,Emotion Recognition,0.7895,0.721,,19
tom_12dim_mcq,ER_07,Emotion Recognition,0.8421,0.7762,,19
tom_12dim_mcq,ER_08,Emotion Recognition,0.8421,0.7762,,19
tom_12dim_mcq,ER_09,Emotion Recognition,0.7895,0.9297,,19
tom_12dim_mcq,ER_10,Emotion Recognition,0.7895,0.7578,,19
tom_12dim_mcq,ER_11,Emotion Recognition,0.7895,0.9297,,19
tom_12dim_mcq,ER_12,Emotion Recognition,0.8421,0.7762,,19
tom_12dim_mcq,FOFB_01,First-Order False Belief,0.5789,0.5319,,19
tom_12dim_mcq,FOFB_02,First-Order False Belief,0.7368,0.5787,,19
tom_12dim_mcq,FOFB_03,First-Order False Belief,0.6316,0.6644,,19
tom_12dim_mcq,FOFB_04,First-Order False Belief,0.7368,0.6668,,19
tom_12dim_mcq,FOFB_05,First-Order False Belief,0.5263,0.41,,19
tom_12dim_mcq,FOFB_06,First-Order False Belief,0.6316,0.5217,,19
tom_12dim_mcq,FOFB_07,First-Order False Belief,0.4737,0.6299,,19
tom_12dim_mcq,FOFB_08,First-Order False Belief,0.3158,0.4968,,19
tom_12dim_mcq,FOFB_09,First-Order False Belief,0.4211,0.6084,,19
