model,tom_dimension,n,n_correct,accuracy
openai-api/local/deepseek/deepseek-llm-67b-chat,Diverse Beliefs,10,9,0.9
openai-api/local/deepseek/deepseek-llm-67b-chat,Diverse Desires,10,7,0.7
openai-api/local/deepseek/deepseek-llm-67b-chat,Emotion Recognition,12,11,0.9166666666666666
openai-api/local/deepseek/deepseek-llm-67b-chat,Faux Pas Detection,10,6,0.6
openai-api/local/deepseek/deepseek-llm-67b-chat,First-Order False Belief,12,8,0.6666666666666666
openai-api/local/deepseek/deepseek-llm-67b-chat,Hidden Emotion (Appearance vs. Reality),10,8,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Intention vs. Accident,10,10,1.0
openai-api/local/deepseek/deepseek-llm-67b-chat,Irony,10,8,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Knowledge Access / Ignorance,10,8,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Sarcasm,10,8,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Second-Order False Belief,10,4,0.4
openai-api/local/deepseek/deepseek-llm-67b-chat,White Lies / Prosocial Deception,10,9,0.9
openai-api/local/deepseek/deepseek-llm-7b-chat,Diverse Beliefs,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Diverse Desires,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Emotion Recognition,12,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Faux Pas Detection,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,First-Order False Belief,12,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Hidden Emotion (Appearance vs. Reality),10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Intention vs. Accident,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Irony,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Knowledge Access / Ignorance,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Sarcasm,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,Second-Order False Belief,10,0,0.0
openai-api/local/deepseek/deepseek-llm-7b-chat,White Lies / Prosocial Deception,10,0,0.0
openai-api/local/google/gemma-7b-it,Diverse Beliefs,10,10,1.0
openai-api/local/google/gemma-7b-it,Diverse Desires,10,10,1.0
openai-api/local/google/gemma-7b-it,Emotion Recognition,12,12,1.0
openai-api/local/google/gemma-7b-it,Faux Pas Detection,10,8,0.8
openai-api/local/google/gemma-7b-it,First-Order False Belief,12,3,0.25
openai-api/local/google/gemma-7b-it,Hidden Emotion (Appearance vs. Reality),10,9,0.9
openai-api/local/google/gemma-7b-it,Intention vs. Accident,10,9,0.9
openai-api/local/google/gemma-7b-it,Irony,10,10,1.0
openai-api/local/google/gemma-7b-it,Knowledge Access / Ignorance,10,9,0.9
openai-api/local/google/gemma-7b-it,Sarcasm,10,5,0.5
openai-api/local/google/gemma-7b-it,Second-Order False Belief,10,3,0.3
openai-api/local/google/gemma-7b-it,White Lies / Prosocial Deception,10,8,0.8
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Desires,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,First-Order False Belief,12,12,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Intention vs. Accident,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Irony,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Sarcasm,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Desires,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,First-Order False Belief,12,5,0.4166666666666667
openai-api/local/meta-llama/llama-3-8b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Intention vs. Accident,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Irony,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Knowledge Access / Ignorance,10,9,0.9
openai-api/local/meta-llama/llama-3-8b-instruct,Sarcasm,10,10,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Second-Order False Belief,10,9,0.9
openai-api/local/meta-llama/llama-3-8b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Desires,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,First-Order False Belief,12,4,0.3333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,Hidden Emotion (Appearance vs. Reality),10,9,0.9
openai-api/local/meta-llama/llama-3.1-8b-instruct,Intention vs. Accident,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Irony,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Knowledge Access / Ignorance,10,9,0.9
openai-api/local/meta-llama/llama-3.1-8b-instruct,Sarcasm,10,9,0.9
openai-api/local/meta-llama/llama-3.1-8b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Desires,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,First-Order False Belief,12,12,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Intention vs. Accident,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Irony,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Sarcasm,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/mistralai/mistral-7b-instruct,Diverse Beliefs,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct,Diverse Desires,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/mistralai/mistral-7b-instruct,Faux Pas Detection,10,5,0.5
openai-api/local/mistralai/mistral-7b-instruct,First-Order False Belief,12,5,0.4166666666666667
openai-api/local/mistralai/mistral-7b-instruct,Hidden Emotion (Appearance vs. Reality),10,5,0.5
openai-api/local/mistralai/mistral-7b-instruct,Intention vs. Accident,10,7,0.7
openai-api/local/mistralai/mistral-7b-instruct,Irony,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct,Knowledge Access / Ignorance,10,8,0.8
openai-api/local/mistralai/mistral-7b-instruct,Sarcasm,10,6,0.6
openai-api/local/mistralai/mistral-7b-instruct,Second-Order False Belief,10,2,0.2
openai-api/local/mistralai/mistral-7b-instruct,White Lies / Prosocial Deception,10,7,0.7
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Diverse Beliefs,10,10,1.0
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Diverse Desires,10,8,0.8
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Emotion Recognition,12,12,1.0
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Faux Pas Detection,10,3,0.3
openai-api/local/mistralai/mistral-7b-instruct-v0.2,First-Order False Belief,12,10,0.8333333333333334
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Hidden Emotion (Appearance vs. Reality),10,7,0.7
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Intention vs. Accident,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Irony,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Knowledge Access / Ignorance,10,9,0.9
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Sarcasm,10,7,0.7
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Second-Order False Belief,10,10,1.0
openai-api/local/mistralai/mistral-7b-instruct-v0.2,White Lies / Prosocial Deception,10,6,0.6
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Diverse Beliefs,10,2,0.2
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Diverse Desires,10,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Emotion Recognition,12,6,0.5
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Faux Pas Detection,10,1,0.1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,First-Order False Belief,12,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Hidden Emotion (Appearance vs. Reality),10,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Intention vs. Accident,10,1,0.1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Irony,10,2,0.2
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Knowledge Access / Ignorance,10,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Sarcasm,10,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Second-Order False Belief,10,0,0.0
openai-api/local/mistralai/mistral-7b-instruct-v0.3,White Lies / Prosocial Deception,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Diverse Beliefs,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Diverse Desires,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Emotion Recognition,12,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Faux Pas Detection,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,First-Order False Belief,12,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Hidden Emotion (Appearance vs. Reality),10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Intention vs. Accident,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Irony,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Knowledge Access / Ignorance,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Sarcasm,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Second-Order False Belief,10,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,White Lies / Prosocial Deception,10,0,0.0
openai-api/local/qwen/qwen-1.5-72b-chat,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Faux Pas Detection,10,9,0.9
openai-api/local/qwen/qwen-1.5-72b-chat,First-Order False Belief,12,12,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Intention vs. Accident,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Irony,10,9,0.9
openai-api/local/qwen/qwen-1.5-72b-chat,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Sarcasm,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Second-Order False Belief,10,10,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/qwen/qwen1.5-14b-chat,Diverse Beliefs,10,7,0.7
openai-api/local/qwen/qwen1.5-14b-chat,Diverse Desires,10,4,0.4
openai-api/local/qwen/qwen1.5-14b-chat,Emotion Recognition,12,2,0.16666666666666666
openai-api/local/qwen/qwen1.5-14b-chat,Faux Pas Detection,10,1,0.1
openai-api/local/qwen/qwen1.5-14b-chat,First-Order False Belief,12,8,0.6666666666666666
openai-api/local/qwen/qwen1.5-14b-chat,Hidden Emotion (Appearance vs. Reality),10,1,0.1
openai-api/local/qwen/qwen1.5-14b-chat,Intention vs. Accident,10,0,0.0
openai-api/local/qwen/qwen1.5-14b-chat,Irony,10,3,0.3
openai-api/local/qwen/qwen1.5-14b-chat,Knowledge Access / Ignorance,10,1,0.1
openai-api/local/qwen/qwen1.5-14b-chat,Sarcasm,10,1,0.1
openai-api/local/qwen/qwen1.5-14b-chat,Second-Order False Belief,10,9,0.9
openai-api/local/qwen/qwen1.5-14b-chat,White Lies / Prosocial Deception,10,3,0.3
openai-api/local/qwen/qwen1.5-7b-chat,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen1.5-7b-chat,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen1.5-7b-chat,Emotion Recognition,12,11,0.9166666666666666
openai-api/local/qwen/qwen1.5-7b-chat,Faux Pas Detection,10,5,0.5
openai-api/local/qwen/qwen1.5-7b-chat,First-Order False Belief,12,5,0.4166666666666667
openai-api/local/qwen/qwen1.5-7b-chat,Hidden Emotion (Appearance vs. Reality),10,8,0.8
openai-api/local/qwen/qwen1.5-7b-chat,Intention vs. Accident,10,5,0.5
openai-api/local/qwen/qwen1.5-7b-chat,Irony,10,7,0.7
openai-api/local/qwen/qwen1.5-7b-chat,Knowledge Access / Ignorance,10,6,0.6
openai-api/local/qwen/qwen1.5-7b-chat,Sarcasm,10,6,0.6
openai-api/local/qwen/qwen1.5-7b-chat,Second-Order False Belief,10,1,0.1
openai-api/local/qwen/qwen1.5-7b-chat,White Lies / Prosocial Deception,10,6,0.6
openai-api/local/qwen/qwen2-72b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen2-72b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,First-Order False Belief,12,11,0.9166666666666666
openai-api/local/qwen/qwen2-72b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Intention vs. Accident,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Irony,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Sarcasm,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/qwen/qwen2-72b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen2-7b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,First-Order False Belief,12,10,0.8333333333333334
openai-api/local/qwen/qwen2-7b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,Intention vs. Accident,10,9,0.9
openai-api/local/qwen/qwen2-7b-instruct,Irony,10,9,0.9
openai-api/local/qwen/qwen2-7b-instruct,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/qwen/qwen2-7b-instruct,Sarcasm,10,9,0.9
openai-api/local/qwen/qwen2-7b-instruct,Second-Order False Belief,10,8,0.8
openai-api/local/qwen/qwen2-7b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,First-Order False Belief,12,12,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Intention vs. Accident,10,10,1.0
