tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
First-Order False Belief,0.6096491228070176,12,228,0.36752071367986283,0.0,1.0,4
Sarcasm,0.6473684210526316,10,190,0.39492393227139544,0.0,1.0,9
Second-Order False Belief,0.6631578947368421,10,190,0.4219143229453496,0.0,1.0,7
Faux Pas Detection,0.6736842105263158,10,190,0.3941828471142096,0.0,1.0,10
Knowledge Access / Ignorance,0.6947368421052632,10,190,0.3950719824855077,0.0,1.0,2
Hidden Emotion (Appearance vs. Reality),0.7,10,190,0.38729833462074165,0.0,1.0,6
White Lies / Prosocial Deception,0.7157894736842105,10,190,0.3730700826248436,0.0,1.0,8
Intention vs. Accident,0.7210526315789474,10,190,0.39381178156353525,0.0,1.0,5
Irony,0.7526315789473684,10,190,0.3517707919348614,0.0,1.0,11
Diverse Desires,0.7684210526315789,10,190,0.3742438770803923,0.0,1.0,0
Emotion Recognition,0.8157894736842105,12,228,0.3585151857335467,0.0,1.0,3
Diverse Beliefs,0.8263157894736842,10,190,0.34775806606694243,0.0,1.0,1
