task,scope,kr20,n_items,n_models
tom_12dim_mcq,overall,0.9954,124,26
tom_12dim_mcq,Diverse Beliefs,0.9819,10,26
tom_12dim_mcq,Diverse Desires,0.9784,10,26
tom_12dim_mcq,Emotion Recognition,0.984,12,26
tom_12dim_mcq,Faux Pas Detection,0.9544,10,26
tom_12dim_mcq,First-Order False Belief,0.9481,12,26
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9627,10,26
tom_12dim_mcq,Intention vs. Accident,0.9726,10,26
tom_12dim_mcq,Irony,0.9496,10,26
tom_12dim_mcq,Knowledge Access / Ignorance,0.9683,10,26
tom_12dim_mcq,Sarcasm,0.9535,10,26
tom_12dim_mcq,Second-Order False Belief,0.9738,10,26
tom_12dim_mcq,White Lies / Prosocial Deception,0.9486,10,26
