tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
First-Order False Belief,0.6923076923076923,12,312,0.3580574370197164,0.0,1.0,4
Sarcasm,0.7192307692307692,10,260,0.37311577910265953,0.0,1.0,9
Knowledge Access / Ignorance,0.7307692307692307,10,260,0.3865428625849721,0.0,1.0,2
Faux Pas Detection,0.7423076923076923,10,260,0.3657026955581016,0.0,1.0,10
Hidden Emotion (Appearance vs. Reality),0.75,10,260,0.37013511046643494,0.0,1.0,6
Second-Order False Belief,0.75,10,260,0.38704004960727256,0.0,1.0,7
Intention vs. Accident,0.7615384615384615,10,260,0.3795543946017994,0.0,1.0,5
White Lies / Prosocial Deception,0.7730769230769231,10,260,0.3435784536989388,0.0,1.0,8
Diverse Desires,0.7923076923076923,10,260,0.3697816403480053,0.0,1.0,0
Irony,0.7923076923076923,10,260,0.33217233710599914,0.0,1.0,11
Emotion Recognition,0.8333333333333334,12,312,0.3423773097362356,0.0,1.0,3
Diverse Beliefs,0.8384615384615385,10,260,0.339501897581646,0.0,1.0,1
