model,family,tier,n,n_correct,accuracy,wilson_lo,wilson_hi
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,124,124,1.0,0.9699503135129722,0.9999999999999999
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,124,124,1.0,0.9699503135129722,0.9999999999999999
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,124,122,0.9838709677419355,0.9430958652666754,0.9955657284555557
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,124,37,0.29838709677419356,0.22489882720831866,0.38399217540741826
anthropic/claude-opus-4-6,Claude,Claude Opus,124,124,1.0,0.9699503135129722,0.9999999999999999
anthropic/claude-opus-4-7,Claude,Claude Opus,124,124,1.0,0.9699503135129722,0.9999999999999999
anthropic/claude-opus-4-8,Claude,Claude Opus,124,124,1.0,0.9699503135129722,0.9999999999999999
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,124,113,0.9112903225806451,0.848118056419356,0.9497442982445405
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,124,124,1.0,0.9699503135129722,0.9999999999999999
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama other,124,124,1.0,0.9699503135129722,0.9999999999999999
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama other,124,115,0.9274193548387096,0.8678027990621776,0.9613482753924599
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen other,124,122,0.9838709677419355,0.9430958652666754,0.9955657284555557
openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen other,124,40,0.3225806451612903,0.2467027278421376,0.4091213544597108
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen other,124,80,0.6451612903225806,0.5577435461588252,0.7238549319578442
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen other,124,123,0.9919354838709677,0.9557309233977271,0.9985750302198744
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen other,124,117,0.9435483870967742,0.8880507136315979,0.9723890806137808
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen other,124,124,1.0,0.9699503135129722,0.9999999999999999
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen other,124,93,0.75,0.6670505006581939,0.8179246560982922
openai-api/local/qwen/qwen3-8b,Qwen,Qwen other,124,123,0.9919354838709677,0.9557309233977271,0.9985750302198744
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek other,124,96,0.7741935483870968,0.6930081708536336,0.8389000655889639
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek other,124,0,0.0,0.0,0.030049686487027695
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral other,124,84,0.6774193548387096,0.590878645540289,0.7532972721578624
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral other,124,100,0.8064516129032258,0.7281401662946105,0.8663455097294692
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral other,124,12,0.0967741935483871,0.056227651260841546,0.1615543539706324
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral other,124,0,0.0,0.0,0.030049686487027695
openai-api/local/google/gemma-7b-it,Gemma,Gemma other,124,96,0.7741935483870968,0.6930081708536336,0.8389000655889639
