model,tom_dimension,n,n_correct,accuracy
anthropic/claude-haiku-4-5-20251001,Diverse Beliefs,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Diverse Desires,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Emotion Recognition,12,12,1.0
anthropic/claude-haiku-4-5-20251001,Faux Pas Detection,10,10,1.0
anthropic/claude-haiku-4-5-20251001,First-Order False Belief,12,12,1.0
anthropic/claude-haiku-4-5-20251001,Hidden Emotion (Appearance vs. Reality),10,10,1.0
anthropic/claude-haiku-4-5-20251001,Intention vs. Accident,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Irony,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Knowledge Access / Ignorance,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Sarcasm,10,10,1.0
anthropic/claude-haiku-4-5-20251001,Second-Order False Belief,10,10,1.0
anthropic/claude-haiku-4-5-20251001,White Lies / Prosocial Deception,10,10,1.0
anthropic/claude-opus-4-5-20251101,Diverse Beliefs,10,10,1.0
anthropic/claude-opus-4-5-20251101,Diverse Desires,10,10,1.0
anthropic/claude-opus-4-5-20251101,Emotion Recognition,12,12,1.0
anthropic/claude-opus-4-5-20251101,Faux Pas Detection,10,10,1.0
anthropic/claude-opus-4-5-20251101,First-Order False Belief,12,12,1.0
anthropic/claude-opus-4-5-20251101,Hidden Emotion (Appearance vs. Reality),10,10,1.0
anthropic/claude-opus-4-5-20251101,Intention vs. Accident,10,10,1.0
anthropic/claude-opus-4-5-20251101,Irony,10,10,1.0
anthropic/claude-opus-4-5-20251101,Knowledge Access / Ignorance,10,8,0.8
anthropic/claude-opus-4-5-20251101,Sarcasm,10,10,1.0
anthropic/claude-opus-4-5-20251101,Second-Order False Belief,10,10,1.0
anthropic/claude-opus-4-5-20251101,White Lies / Prosocial Deception,10,10,1.0
anthropic/claude-opus-4-6,Diverse Beliefs,10,10,1.0
anthropic/claude-opus-4-6,Diverse Desires,10,10,1.0
anthropic/claude-opus-4-6,Emotion Recognition,12,12,1.0
anthropic/claude-opus-4-6,Faux Pas Detection,10,10,1.0
anthropic/claude-opus-4-6,First-Order False Belief,12,12,1.0
anthropic/claude-opus-4-6,Hidden Emotion (Appearance vs. Reality),10,10,1.0
anthropic/claude-opus-4-6,Intention vs. Accident,10,10,1.0
anthropic/claude-opus-4-6,Irony,10,10,1.0
anthropic/claude-opus-4-6,Knowledge Access / Ignorance,10,10,1.0
anthropic/claude-opus-4-6,Sarcasm,10,10,1.0
anthropic/claude-opus-4-6,Second-Order False Belief,10,10,1.0
anthropic/claude-opus-4-6,White Lies / Prosocial Deception,10,10,1.0
anthropic/claude-opus-4-7,Diverse Beliefs,10,10,1.0
anthropic/claude-opus-4-7,Diverse Desires,10,10,1.0
anthropic/claude-opus-4-7,Emotion Recognition,12,12,1.0
anthropic/claude-opus-4-7,Faux Pas Detection,10,10,1.0
anthropic/claude-opus-4-7,First-Order False Belief,12,12,1.0
anthropic/claude-opus-4-7,Hidden Emotion (Appearance vs. Reality),10,10,1.0
anthropic/claude-opus-4-7,Intention vs. Accident,10,10,1.0
anthropic/claude-opus-4-7,Irony,10,10,1.0
anthropic/claude-opus-4-7,Knowledge Access / Ignorance,10,10,1.0
anthropic/claude-opus-4-7,Sarcasm,10,10,1.0
anthropic/claude-opus-4-7,Second-Order False Belief,10,10,1.0
anthropic/claude-opus-4-7,White Lies / Prosocial Deception,10,10,1.0
anthropic/claude-opus-4-8,Diverse Beliefs,10,10,1.0
anthropic/claude-opus-4-8,Diverse Desires,10,10,1.0
anthropic/claude-opus-4-8,Emotion Recognition,12,12,1.0
anthropic/claude-opus-4-8,Faux Pas Detection,10,10,1.0
anthropic/claude-opus-4-8,First-Order False Belief,12,12,1.0
anthropic/claude-opus-4-8,Hidden Emotion (Appearance vs. Reality),10,10,1.0
anthropic/claude-opus-4-8,Intention vs. Accident,10,10,1.0
anthropic/claude-opus-4-8,Irony,10,10,1.0
anthropic/claude-opus-4-8,Knowledge Access / Ignorance,10,10,1.0
anthropic/claude-opus-4-8,Sarcasm,10,10,1.0
anthropic/claude-opus-4-8,Second-Order False Belief,10,10,1.0
anthropic/claude-opus-4-8,White Lies / Prosocial Deception,10,10,1.0
