model,family,tier,task,n_items,n_correct,accuracy
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_mcq,124,122,0.9838709677419355
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,124,124,1.0
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_mcq,124,124,1.0
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_mcq,124,37,0.29838709677419356
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek other,tom_12dim_mcq,124,96,0.7741935483870968
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek other,tom_12dim_mcq,124,0,0.0
openai-api/local/google/gemma-7b-it,Gemma,Gemma other,tom_12dim_mcq,124,96,0.7741935483870968
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama other,tom_12dim_mcq,124,124,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama other,tom_12dim_mcq,124,115,0.9274193548387096
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,124,113,0.9112903225806451
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,124,124,1.0
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral other,tom_12dim_mcq,124,84,0.6774193548387096
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral other,tom_12dim_mcq,124,100,0.8064516129032258
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral other,tom_12dim_mcq,124,12,0.0967741935483871
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral other,tom_12dim_mcq,124,0,0.0
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen other,tom_12dim_mcq,124,122,0.9838709677419355
openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen other,tom_12dim_mcq,124,40,0.3225806451612903
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen other,tom_12dim_mcq,124,80,0.6451612903225806
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen other,tom_12dim_mcq,124,123,0.9919354838709677
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen other,tom_12dim_mcq,124,117,0.9435483870967742
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen other,tom_12dim_mcq,124,124,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen other,tom_12dim_mcq,124,93,0.75
openai-api/local/qwen/qwen3-8b,Qwen,Qwen other,tom_12dim_mcq,124,123,0.9919354838709677
