effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,family,model_label
fixed,(Intercept),149277.2058936351,5714365.61602937,0.31121967216181773,0.7556336289072852,3.8886920791286075e-28,5730380227072146e22,Llama,M1_date_x_tier
fixed,date_c,2275630365488731e7,4678633778477626e9,0.25038820094669173,0.8022871533509431,2.251090799755366e-153,23004374416603785e181,Llama,M1_date_x_tier
fixed,(Intercept),41161137706.111176,110011519472704.67,0.00914458330199245,0.9927037798576335,0,Inf,Llama,M2_date_x_dimrank
fixed,date_c,6345378384763402e12,9108387268689409e16,0.00445979516032229,0.9964416100931672,0,Inf,Llama,M2_date_x_dimrank
fixed,dim_rank,0.9676892522793675,444.6575497410999,-7.147756946647421e-5,0.9999429691509275,0,Inf,Llama,M2_date_x_dimrank
fixed,date_c:dim_rank,0.5164679092019554,1274.5127208272302,-2.677510373412819e-4,0.999786365583719,0,Inf,Llama,M2_date_x_dimrank
