family,dim_rank,tom_dimension,validated_age_band,slope_logodds,slope_or,se,lo,hi
Llama,0,Diverse Desires,2-3 yrs,64.01752424533598,6345378384763402e12,14354.364257552517,0,Inf
Llama,1,Diverse Beliefs,3-4 yrs,63.35678212171894,3277184307474042e12,12109.339836114814,0,Inf
Llama,2,Knowledge Access / Ignorance,3-4 yrs,62.6960399981019,16925605273505677e11,9970.156018402015,0,Inf
Llama,3,Emotion Recognition,3-4 yrs,62.03529787448487,8741531967585086e11,8021.9369564204035,0,Inf
Llama,4,First-Order False Belief,4-5 yrs,61.374555750867835,4514720738520734e11,6440.380095229925,0,Inf
Llama,5,Intention vs. Accident,4-5 yrs,60.7138136272508,23317083804545163e10,5548.430475912001,0,Inf
Llama,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,60.05307150363376,12042525521220154e10,5680.777011797685,0,Inf
Llama,7,Second-Order False Belief,6-7 yrs,59.392329380016726,6219577977455774e10,6777.679241912672,0,Inf
Llama,8,White Lies / Prosocial Deception,5-7 yrs,58.73158725639969,32122124341351166e9,8472.438025237103,0,Inf
Llama,9,Sarcasm,6-8 yrs,58.07084513278265,1659004639770279e10,10478.885342127664,0,Inf
Llama,10,Faux Pas Detection,9-11 yrs,57.41010300916562,856822657658501e10,12649.5625091217,0,Inf
Llama,11,Irony,6-8 yrs,56.74936088554858,4425214065577497e9,14912.926844440748,0,Inf
