dataset,order,CR,p_value,null_mean,null_sd,null_q95,n_perm
pooled,developmental,0.9166666666666666,0.055894410558944105,0.8832934523809524,0.017620748227877514,0.9166666666666666,10000
pooled,construct_grouped,0.9166666666666666,0.055894410558944105,0.8832934523809524,0.017620748227877514,0.9166666666666666,10000
pooled,empirical_best,0.9642857142857143,NA,0.8832934523809524,0.017620748227877514,0.9166666666666666,10000
pooled,reverse,0.8571428571428572,NA,0.8832934523809524,0.017620748227877514,0.9166666666666666,10000
mcq,developmental,0.9523809523809523,0.008099190080991902,0.916710119047619,0.013840517570286339,0.9404761904761905,10000
mcq,construct_grouped,0.9345238095238095,0.14858514148585142,0.916710119047619,0.013840517570286339,0.9404761904761905,10000
mcq,empirical_best,0.9523809523809523,NA,0.916710119047619,0.013840517570286339,0.9404761904761905,10000
mcq,reverse,0.8869047619047619,NA,0.916710119047619,0.013840517570286339,0.9404761904761905,10000
frq,developmental,0.8214285714285714,0.11998800119988001,0.7750434523809524,0.03411364064420404,0.8392857142857143,10000
frq,construct_grouped,0.8095238095238095,0.1775822417758224,0.7750434523809524,0.03411364064420404,0.8392857142857143,10000
frq,empirical_best,0.8988095238095238,NA,0.7750434523809524,0.03411364064420404,0.8392857142857143,10000
frq,reverse,0.7380952380952381,NA,0.7750434523809524,0.03411364064420404,0.8392857142857143,10000
