dataset,CR,MMR,pct_improvement,CS,loevinger_H,CR_empirical_best,CR_construct_grouped,CR_reverse,kendall_tau_dev_vs_empirical,n_models,n_dims
pooled,0.9166666666666666,0.8303571428571429,0.08630952380952372,0.5087719298245611,0.9001114827201784,0.9642857142857143,0.9166666666666666,0.8571428571428572,0.42552676218461327,28,12
mcq,0.9523809523809523,0.8511904761904762,0.10119047619047616,0.6799999999999997,0.8674897119341564,0.9523809523809523,0.9345238095238095,0.8869047619047619,0.39477101697586137,28,12
frq,0.8214285714285714,0.8482142857142857,-0.0267857142857143,-0.1764705882352942,0.4365620736698498,0.8988095238095238,0.8095238095238095,0.7380952380952381,0.3365280903937099,28,12
