model,tom_dimension,accuracy,dim_rank,age_mid,family,tier,date_years,params_b,log_params,mean_acc,coherence,coherence_resid
anthropic/claude-opus-4-5-20251101,Second-Order False Belief,0.9333333333333333,7,7.25,Claude,Claude Opus,1.834360027378508,175,2.2430380486862944,0.9728260869565217,-0.013020683020683035,-0.029843898037810852
anthropic/claude-opus-4-5-20251101,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Opus,1.834360027378508,175,2.2430380486862944,0.9728260869565217,-0.013020683020683035,-0.029843898037810852
anthropic/claude-opus-4-6,Diverse Beliefs,1,1,4,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Diverse Desires,1,0,3,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Emotion Recognition,1,3,5.4,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Faux Pas Detection,1,10,10.5,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,First-Order False Belief,1,4,5,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Intention vs. Accident,1,5,6,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Irony,1,11,8,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Knowledge Access / Ignorance,1,2,4,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,Sarcasm,1,9,8.5,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
