dataset,n_items,ols_slope_logit_per_year,ols_se,ols_p,ols_r2,spearman_age_difficulty,mixed_slope_logit_per_year,mixed_p
pooled,184,0.08056665183979064,0.031978096550397864,0.012615192164051419,0.033701207483324995,0.1701767271708545,-0.008138506668522547,0.8755284075303577
mcq,124,0.04781397000134082,0.02600700278728191,0.06842044032915609,0.02695879050871623,0.1898827431072113,0.0015124193537125372,0.9697069912735468
frq,60,0.15303578566111717,0.08358091718898844,0.0722403515803882,0.054643600146244746,0.17601000971851571,0.09894999517653641,0.3453454566689306
