task,scope,kr20,n_items,n_models
tom_12dim_freeresponse,overall,0.9681,60,28
tom_12dim_freeresponse,Diverse Beliefs,0.6333,5,28
tom_12dim_freeresponse,Diverse Desires,0.7561,5,28
tom_12dim_freeresponse,Emotion Recognition,0.7848,5,28
tom_12dim_freeresponse,Faux Pas Detection,0.6412,5,28
tom_12dim_freeresponse,First-Order False Belief,0.8409,5,28
tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),0.793,5,28
tom_12dim_freeresponse,Intention vs. Accident,0.7427,5,28
tom_12dim_freeresponse,Irony,0.8392,5,28
tom_12dim_freeresponse,Knowledge Access / Ignorance,0.7908,5,28
tom_12dim_freeresponse,Sarcasm,0.669,5,28
tom_12dim_freeresponse,Second-Order False Belief,0.6208,5,28
tom_12dim_freeresponse,White Lies / Prosocial Deception,0.5547,5,28
tom_12dim_mcq,overall,0.9953,124,28
tom_12dim_mcq,Diverse Beliefs,0.9818,10,28
tom_12dim_mcq,Diverse Desires,0.9749,10,28
tom_12dim_mcq,Emotion Recognition,0.984,12,28
tom_12dim_mcq,Faux Pas Detection,0.9556,10,28
tom_12dim_mcq,First-Order False Belief,0.948,12,28
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9604,10,28
tom_12dim_mcq,Intention vs. Accident,0.973,10,28
tom_12dim_mcq,Irony,0.9512,10,28
tom_12dim_mcq,Knowledge Access / Ignorance,0.9689,10,28
tom_12dim_mcq,Sarcasm,0.954,10,28
tom_12dim_mcq,Second-Order False Belief,0.9742,10,28
tom_12dim_mcq,White Lies / Prosocial Deception,0.9497,10,28
