tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.6857142857142857,15,420,0.30299310337647883,0.0,1.0,10
First-Order False Belief,0.7331932773109243,17,476,0.33409453372796794,0.0,1.0,4
Second-Order False Belief,0.7642857142857142,15,420,0.32633752269452704,0.0,1.0,7
Sarcasm,0.7666666666666667,15,420,0.29951950546897377,0.0,1.0,9
Knowledge Access / Ignorance,0.7690476190476191,15,420,0.3044158639502445,0.0,1.0,2
Hidden Emotion (Appearance vs. Reality),0.7833333333333333,15,420,0.30232296795766694,0.0,1.0,6
White Lies / Prosocial Deception,0.7904761904761904,15,420,0.2761965577387972,0.0,1.0,8
Intention vs. Accident,0.8047619047619048,15,420,0.2942122474691469,0.0,1.0,5
Diverse Desires,0.8357142857142857,15,420,0.2796129852434519,0.0,1.0,0
Irony,0.8380952380952381,15,420,0.26877473636211713,0.0,1.0,11
Diverse Beliefs,0.85,15,420,0.26270200927859755,0.0,1.0,1
Emotion Recognition,0.8592436974789915,17,476,0.2727954336839272,0.0,1.0,3
