model,tom_dimension,n,n_correct,accuracy
anthropic/claude-sonnet-4-6,Faux Pas Detection,15,10,0.6666666666666666
anthropic/claude-sonnet-4-6,First-Order False Belief,17,13,0.7647058823529411
anthropic/claude-sonnet-4-6,Hidden Emotion (Appearance vs. Reality),15,8,0.5333333333333333
anthropic/claude-sonnet-4-6,Intention vs. Accident,15,6,0.4
anthropic/claude-sonnet-4-6,Irony,15,8,0.5333333333333333
anthropic/claude-sonnet-4-6,Knowledge Access / Ignorance,15,5,0.3333333333333333
anthropic/claude-sonnet-4-6,Sarcasm,15,9,0.6
anthropic/claude-sonnet-4-6,Second-Order False Belief,15,14,0.9333333333333333
anthropic/claude-sonnet-4-6,White Lies / Prosocial Deception,15,10,0.6666666666666666
anthropic/claude-sonnet-5,Diverse Beliefs,15,15,1.0
anthropic/claude-sonnet-5,Diverse Desires,15,15,1.0
anthropic/claude-sonnet-5,Emotion Recognition,17,17,1.0
anthropic/claude-sonnet-5,Faux Pas Detection,15,14,0.9333333333333333
anthropic/claude-sonnet-5,First-Order False Belief,17,17,1.0
anthropic/claude-sonnet-5,Hidden Emotion (Appearance vs. Reality),15,15,1.0
anthropic/claude-sonnet-5,Intention vs. Accident,15,15,1.0
anthropic/claude-sonnet-5,Irony,15,15,1.0
anthropic/claude-sonnet-5,Knowledge Access / Ignorance,15,15,1.0
anthropic/claude-sonnet-5,Sarcasm,15,15,1.0
anthropic/claude-sonnet-5,Second-Order False Belief,15,15,1.0
anthropic/claude-sonnet-5,White Lies / Prosocial Deception,15,15,1.0
openai-api/local/deepseek/deepseek-llm-67b-chat,Diverse Beliefs,15,13,0.8666666666666667
openai-api/local/deepseek/deepseek-llm-67b-chat,Diverse Desires,15,11,0.7333333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,Emotion Recognition,17,15,0.8823529411764706
openai-api/local/deepseek/deepseek-llm-67b-chat,Faux Pas Detection,15,8,0.5333333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,First-Order False Belief,17,11,0.6470588235294118
openai-api/local/deepseek/deepseek-llm-67b-chat,Hidden Emotion (Appearance vs. Reality),15,13,0.8666666666666667
openai-api/local/deepseek/deepseek-llm-67b-chat,Intention vs. Accident,15,15,1.0
openai-api/local/deepseek/deepseek-llm-67b-chat,Irony,15,13,0.8666666666666667
openai-api/local/deepseek/deepseek-llm-67b-chat,Knowledge Access / Ignorance,15,12,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Sarcasm,15,12,0.8
openai-api/local/deepseek/deepseek-llm-67b-chat,Second-Order False Belief,15,7,0.4666666666666667
openai-api/local/deepseek/deepseek-llm-67b-chat,White Lies / Prosocial Deception,15,13,0.8666666666666667
openai-api/local/deepseek/deepseek-llm-7b-chat,Diverse Beliefs,15,3,0.2
openai-api/local/deepseek/deepseek-llm-7b-chat,Diverse Desires,15,3,0.2
openai-api/local/deepseek/deepseek-llm-7b-chat,Emotion Recognition,17,4,0.23529411764705882
openai-api/local/deepseek/deepseek-llm-7b-chat,Faux Pas Detection,15,2,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-7b-chat,First-Order False Belief,17,2,0.11764705882352941
openai-api/local/deepseek/deepseek-llm-7b-chat,Hidden Emotion (Appearance vs. Reality),15,2,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-7b-chat,Intention vs. Accident,15,2,0.13333333333333333
