task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.8571,0.5927,,28
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.9286,0.722,too-easy,28
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.9286,0.744,too-easy,28
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.5714,0.3291,,28
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.6786,0.3071,,28
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,0.9286,0.744,too-easy,28
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.9286,0.5238,too-easy,28
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.9286,0.5458,too-easy,28
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,0.9286,0.722,too-easy,28
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.6429,0.6205,,28
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.6786,0.6835,,28
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.9286,0.6999,too-easy,28
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.75,0.7596,,28
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.8214,0.5733,,28
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.6071,0.6743,,28
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.25,0.1637,low-disc,28
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.3571,0.5749,,28
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.5,0.5047,,28
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.8214,0.477,,28
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.7143,0.642,,28
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.75,0.7007,,28
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),0.8929,0.5763,,28
tom_12dim_freeresponse,HE_FR_03,Hidden Emotion (Appearance vs. Reality),0.8929,0.7413,,28
tom_12dim_freeresponse,HE_FR_04,Hidden Emotion (Appearance vs. Reality),0.9286,0.722,too-easy,28
tom_12dim_freeresponse,HE_FR_05,Hidden Emotion (Appearance vs. Reality),0.5714,0.6442,,28
tom_12dim_freeresponse,IA_FR_01,Intention vs. Accident,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,IA_FR_02,Intention vs. Accident,0.8214,0.7361,,28
tom_12dim_freeresponse,IA_FR_03,Intention vs. Accident,0.8214,0.366,,28
tom_12dim_freeresponse,IA_FR_04,Intention vs. Accident,0.8214,0.6769,,28
tom_12dim_freeresponse,IA_FR_05,Intention vs. Accident,0.8571,0.7224,,28
tom_12dim_freeresponse,IRO_FR_01,Irony,0.9286,0.744,too-easy,28
tom_12dim_freeresponse,IRO_FR_02,Irony,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,IRO_FR_03,Irony,0.8571,0.7143,,28
tom_12dim_freeresponse,IRO_FR_04,Irony,0.7857,0.7167,,28
tom_12dim_freeresponse,IRO_FR_05,Irony,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,KA_FR_01,Knowledge Access / Ignorance,0.9286,0.744,too-easy,28
tom_12dim_freeresponse,KA_FR_02,Knowledge Access / Ignorance,0.9643,0.7378,too-easy,28
tom_12dim_freeresponse,KA_FR_03,Knowledge Access / Ignorance,0.3929,0.5624,,28
tom_12dim_freeresponse,KA_FR_04,Knowledge Access / Ignorance,0.8929,0.7596,,28
tom_12dim_freeresponse,KA_FR_05,Knowledge Access / Ignorance,0.8571,0.6981,,28
tom_12dim_freeresponse,SAR_FR_01,Sarcasm,0.8571,0.5846,,28
tom_12dim_freeresponse,SAR_FR_02,Sarcasm,0.8929,0.6588,,28
tom_12dim_freeresponse,SAR_FR_03,Sarcasm,0.8929,0.4296,,28
tom_12dim_freeresponse,SAR_FR_04,Sarcasm,0.6786,0.5985,,28
tom_12dim_freeresponse,SAR_FR_05,Sarcasm,0.7857,0.6269,,28
tom_12dim_freeresponse,SOFB_FR_01,Second-Order False Belief,0.75,0.6287,,28
tom_12dim_freeresponse,SOFB_FR_02,Second-Order False Belief,0.7857,0.4541,,28
tom_12dim_freeresponse,SOFB_FR_03,Second-Order False Belief,0.8214,0.6991,,28
tom_12dim_freeresponse,SOFB_FR_04,Second-Order False Belief,0.6786,0.5135,,28
tom_12dim_freeresponse,SOFB_FR_05,Second-Order False Belief,0.75,0.3733,,28
tom_12dim_freeresponse,WL_FR_01,White Lies / Prosocial Deception,0.6786,0.6471,,28
tom_12dim_freeresponse,WL_FR_02,White Lies / Prosocial Deception,0.6429,0.3838,,28
tom_12dim_freeresponse,WL_FR_03,White Lies / Prosocial Deception,0.8571,0.5279,,28
tom_12dim_freeresponse,WL_FR_04,White Lies / Prosocial Deception,0.8929,0.5579,,28
tom_12dim_freeresponse,WL_FR_05,White Lies / Prosocial Deception,0.8929,0.6221,,28
tom_12dim_mcq,DBEL_01,Diverse Beliefs,0.8571,0.8627,,28
tom_12dim_mcq,DBEL_02,Diverse Beliefs,0.8214,0.7909,,28
tom_12dim_mcq,DBEL_03,Diverse Beliefs,0.8214,0.9233,,28
tom_12dim_mcq,DBEL_04,Diverse Beliefs,0.8571,0.8627,,28
tom_12dim_mcq,DBEL_05,Diverse Beliefs,0.7857,0.8907,,28
tom_12dim_mcq,DBEL_06,Diverse Beliefs,0.8571,0.8627,,28
tom_12dim_mcq,DBEL_07,Diverse Beliefs,0.8929,0.8177,,28
tom_12dim_mcq,DBEL_08,Diverse Beliefs,0.8929,0.7269,,28
tom_12dim_mcq,DBEL_09,Diverse Beliefs,0.8214,0.9233,,28
tom_12dim_mcq,DBEL_10,Diverse Beliefs,0.8929,0.7269,,28
tom_12dim_mcq,DD_01,Diverse Desires,0.7857,0.8907,,28
tom_12dim_mcq,DD_02,Diverse Desires,0.8214,0.9233,,28
tom_12dim_mcq,DD_03,Diverse Desires,0.8571,0.8627,,28
tom_12dim_mcq,DD_04,Diverse Desires,0.8929,0.8177,,28
tom_12dim_mcq,DD_05,Diverse Desires,0.7857,0.8708,,28
tom_12dim_mcq,DD_06,Diverse Desires,0.75,0.8129,,28
tom_12dim_mcq,DD_07,Diverse Desires,0.8214,0.7909,,28
tom_12dim_mcq,DD_08,Diverse Desires,0.8214,0.9233,,28
tom_12dim_mcq,DD_09,Diverse Desires,0.7857,0.7384,,28
tom_12dim_mcq,DD_10,Diverse Desires,0.7857,0.8642,,28
tom_12dim_mcq,ER_01,Emotion Recognition,0.9286,0.6828,too-easy,28
tom_12dim_mcq,ER_02,Emotion Recognition,0.8214,0.9233,,28
tom_12dim_mcq,ER_03,Emotion Recognition,0.8571,0.7903,,28
tom_12dim_mcq,ER_04,Emotion Recognition,0.8571,0.8705,,28
tom_12dim_mcq,ER_05,Emotion Recognition,0.8214,0.9233,,28
tom_12dim_mcq,ER_06,Emotion Recognition,0.8214,0.7625,,28
tom_12dim_mcq,ER_07,Emotion Recognition,0.8571,0.7903,,28
tom_12dim_mcq,ER_08,Emotion Recognition,0.8571,0.7903,,28
tom_12dim_mcq,ER_09,Emotion Recognition,0.8214,0.9233,,28
tom_12dim_mcq,ER_10,Emotion Recognition,0.8214,0.7909,,28
tom_12dim_mcq,ER_11,Emotion Recognition,0.8214,0.9233,,28
tom_12dim_mcq,ER_12,Emotion Recognition,0.8571,0.7903,,28
tom_12dim_mcq,FOFB_01,First-Order False Belief,0.7143,0.5549,,28
tom_12dim_mcq,FOFB_02,First-Order False Belief,0.7857,0.6612,,28
tom_12dim_mcq,FOFB_03,First-Order False Belief,0.75,0.6581,,28
tom_12dim_mcq,FOFB_04,First-Order False Belief,0.7857,0.7296,,28
tom_12dim_mcq,FOFB_05,First-Order False Belief,0.6429,0.5538,,28
tom_12dim_mcq,FOFB_06,First-Order False Belief,0.75,0.5431,,28
tom_12dim_mcq,FOFB_07,First-Order False Belief,0.6429,0.6332,,28
tom_12dim_mcq,FOFB_08,First-Order False Belief,0.5357,0.5327,,28
tom_12dim_mcq,FOFB_09,First-Order False Belief,0.6071,0.6158,,28
tom_12dim_mcq,FOFB_10,First-Order False Belief,0.8571,0.7256,,28
tom_12dim_mcq,FOFB_11,First-Order False Belief,0.7857,0.6855,,28
tom_12dim_mcq,FOFB_12,First-Order False Belief,0.8214,0.8287,,28
tom_12dim_mcq,FP_01,Faux Pas Detection,0.75,0.8463,,28
tom_12dim_mcq,FP_02,Faux Pas Detection,0.75,0.769,,28
tom_12dim_mcq,FP_03,Faux Pas Detection,0.75,0.8463,,28
tom_12dim_mcq,FP_04,Faux Pas Detection,0.8571,0.5393,,28
tom_12dim_mcq,FP_05,Faux Pas Detection,0.75,0.8463,,28
tom_12dim_mcq,FP_06,Faux Pas Detection,0.75,0.7271,,28
tom_12dim_mcq,FP_07,Faux Pas Detection,0.8214,0.8263,,28
tom_12dim_mcq,FP_08,Faux Pas Detection,0.6786,0.7386,,28
tom_12dim_mcq,FP_09,Faux Pas Detection,0.7143,0.6992,,28
tom_12dim_mcq,FP_10,Faux Pas Detection,0.8214,0.7885,,28
tom_12dim_mcq,HE_01,Hidden Emotion (Appearance vs. Reality),0.75,0.7418,,28
tom_12dim_mcq,HE_02,Hidden Emotion (Appearance vs. Reality),0.7857,0.8708,,28
tom_12dim_mcq,HE_03,Hidden Emotion (Appearance vs. Reality),0.6786,0.787,,28
tom_12dim_mcq,HE_04,Hidden Emotion (Appearance vs. Reality),0.7857,0.8907,,28
tom_12dim_mcq,HE_05,Hidden Emotion (Appearance vs. Reality),0.7143,0.8195,,28
tom_12dim_mcq,HE_06,Hidden Emotion (Appearance vs. Reality),0.8214,0.9233,,28
