term,mean,sd,lo94,hi94,P_gt_0
Intercept,2.6236495564057307,0.07932214470761487,2.4744609736548,2.7728381391566614,1.0
C(family)[T.Gemma],0.228655789422618,0.1787394214050169,-0.10751617188059065,0.5648277507258266,0.8995988161445545
C(family)[T.Llama],-1.1341547462319121,0.11670270758087561,-1.3536484527039676,-0.9146610397598568,1.2594641309094387e-22
C(family)[T.Mistral],0.5153276941178421,0.2590296133643367,0.028146452980307768,1.0025089352553764,0.9766744840573461
C(family)[T.Qwen],0.35456372046905654,0.18560324979329781,0.005482314605722016,0.7036451263323911,0.971954722888498
years_c,0.9299762565999754,0.2659243638563844,0.42982741280720005,1.4301251003927509,0.9997648675790294
logp_c,1.1306040691266026,0.11736502448130656,0.9098646812616462,1.351343456991559,1.0
