effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,family,model_label
fixed,(Intercept),215012483.39691037,4379111542.914861,0.9420344509724818,0.3461750020519776,9.91358437239859e-10,4663335306372245e10,Claude,M1_date_x_tier
fixed,date_c,3.35318657481299,11.568781274453896,0.35069015437212114,0.7258208127089503,0.0038791751583768415,2898.5183051674358,Claude,M1_date_x_tier
fixed,tierClaude Haiku,7.323934099213574e-8,1.492787797873485e-6,-0.8060678013799124,0.4202037560044528,3.275524665581479e-25,16376005729.177141,Claude,M1_date_x_tier
fixed,tierClaude Opus,2.3450665023074807e-8,4.850073481596893e-7,-0.8494508190240991,0.3956304855273688,5.828806662619469e-26,9434756063.38474,Claude,M1_date_x_tier
fixed,tierClaude Sonnet,4.792483041539472e-8,9.813764233476996e-7,-0.8230353210205418,0.41048790773050814,1.7789232260548642e-25,12911121383.45592,Claude,M1_date_x_tier
fixed,date_c:tierClaude Opus,6.201273565956653,30.00624182621097,0.377114970174248,0.7060881665504929,4.7179446965980426e-4,81509.63250493801,Claude,M1_date_x_tier
fixed,(Intercept),6887.748428932412,10340.32941485936,5.88670544318103,3.93969949692739e-9,363.2444283429682,130603.73324010901,GPT,M1_date_x_tier
fixed,date_c,7.75516350656973,24.481810072017034,0.6488637070177807,0.5164264750281324,0.015939838287977556,3773.097312975427,GPT,M1_date_x_tier
fixed,tierGPT reasoning,3.6160808604251997,5.432867157104172,0.8555477155148837,0.3922480007065065,0.19027297092609882,68.72253439618665,GPT,M1_date_x_tier
fixed,tierGPT reasoning mini,0.4862573460129723,1.010272775820211,-0.3470349352967599,0.7285650732391525,0.00828641991603891,28.53418109959917,GPT,M1_date_x_tier
fixed,tierGPT standard,5.542321640199523,4.081916470857922,2.325071167872377,0.02006815505249418,1.3085258724769566,23.474758741512673,GPT,M1_date_x_tier
fixed,(Intercept),476708.5754414732,726375.9432787165,8.5806845629749109,9.431017717662006e-18,24057.485584090096,9446168.640738,Llama,M1_date_x_tier
fixed,date_c,0.4917266024858858,0.7403345091556524,-0.4714672509762214,0.6373071008942034,0.02571404208039803,9.403229987580758,Llama,M1_date_x_tier
fixed,tierLlama small,0.001189949893095066,0.0019412989542926986,-4.1276162152501,3.665431968273437e-5,4.862593468190344e-5,0.029119866946309365,Llama,M1_date_x_tier
fixed,date_c:tierLlama small,0.026265174112586984,0.0760477725742153,-1.2570046071361234,0.20875196731178694,9.01207310123202e-5,7.6548355013920215,Llama,M1_date_x_tier
fixed,(Intercept),2.443072096234179e-10,1.0481175555079763e-8,-0.5158917915811837,0.6059299874078246,7.413263629566977e-47,8051246476103887e11,Mistral,M1_date_x_tier
fixed,date_c,0.059556200187796136,0.09926984309610146,-1.6923387914160475,0.0905813955696806,0.002270501689608947,1.5621838103189196,Mistral,M1_date_x_tier
fixed,tierMistral small,525293017.3807799,22531867361.67483,0.46811937643217016,0.6396992234838625,1.618250698853786e-28,17051298312705735e29,Mistral,M1_date_x_tier
fixed,(Intercept),42.40108845450984,30.047628022524947,5.287747089680284,1.238320276608502e-7,10.572339252667199,170.05246040261184,Qwen,M1_date_x_tier
fixed,date_c,0.840869107734925,1.0438390622674076,-0.13961809358851013,0.8889617440330857,0.07380110161685982,9.580627400572588,Qwen,M1_date_x_tier
fixed,tierQwen mid,0.018654265332770297,0.01296422823845731,-5.7292514686790295,1.008747623885112e-8,0.004777660232116,0.07283515323384065,Qwen,M1_date_x_tier
fixed,tierQwen small,0.3772416254962736,0.2831429454991126,-1.2988538671145964,0.1939940842355681,0.0866444430323826,1.642473989403835,Qwen,M1_date_x_tier
fixed,date_c:tierQwen small,8.318422470160748,11.336657714342671,1.5544572987076855,0.1200753747390773,0.5754288443117724,120.25144911676368,Qwen,M1_date_x_tier
fixed,(Intercept),0.699157571262126,2.1814551838752103,-0.11470045820765824,0.90868255072928406,0.0015442745590051445,316.53782457444885,Claude,M2_date_x_dimrank
fixed,date_c,65.87543635696801,170.97014113826222,1.6135617977301933,0.10662250878087089,0.4069615225921598,10663.349909789602,Claude,M2_date_x_dimrank
fixed,dim_rank,1.2203501063523994,0.32695309092818053,0.7432803969250087,0.4573119373245051,0.7218262885810591,2.0631755945074217,Claude,M2_date_x_dimrank
fixed,date_c:dim_rank,0.8818704365387385,0.21128627588179053,-0.5246911932180279,0.5997978804752526,0.5513995801336565,1.4104027185739163,Claude,M2_date_x_dimrank
fixed,(Intercept),11860.815848778244,15339.964752897788,7.253358232772208,4.0656289521160395e-13,940.2188154429201,149623.6304655931,GPT,M2_date_x_dimrank
fixed,date_c,0.2865314969468361,0.5238525118537875,-0.68366126294871,0.4941890897556277,0.00796084700967591,10.313010492829088,GPT,M2_date_x_dimrank
fixed,dim_rank,0.9704986644013839,0.14896153819795857,-0.1950961837285998,0.8453176501185854,0.718363539924667,1.3111295399313296,GPT,M2_date_x_dimrank
fixed,date_c:dim_rank,1.2413637174457208,0.2892804033526307,0.9278054296653772,0.3535085070307934,0.7862123076426754,1.9600098650338345,GPT,M2_date_x_dimrank
fixed,(Intercept),486007.9982505639,1090033.0507576203,5.838152503264378,5.278283370983872e-9,5991.609885735799,39422422.165009424,Llama,M2_date_x_dimrank
fixed,date_c,15.119851208769607,58.474772409801176,0.7022796868323401,0.48250475865580283,0.007719622098451025,29614.1310623487,Llama,M2_date_x_dimrank
fixed,dim_rank,0.9402501290101105,0.22542766658524793,-0.25697020654036784,0.7972017726732719,0.5877131242552404,1.5042548287888549,Llama,M2_date_x_dimrank
fixed,date_c:dim_rank,0.8948602185738492,0.3720506250125122,-0.2671894750020608,0.7893232794008704,0.396146916950764,2.021408665627867,Llama,M2_date_x_dimrank
fixed,(Intercept),0.29827472684546835,2.0318865280091694,-0.1775861776910242,0.8590479805968138,4.7437303557588667e-7,187548.20785024646,Mistral,M2_date_x_dimrank
fixed,date_c,0.7160250943331805,5.366153092965593,-0.04457216644455544,0.964448328562637,2.99029174551427e-7,1714521.4559212457,Mistral,M2_date_x_dimrank
fixed,dim_rank,0.9691248563039433,0.09607327246644473,-0.3163577454171575,0.7517309854427813,0.7979885792267324,1.1769629435251392,Mistral,M2_date_x_dimrank
fixed,date_c:dim_rank,1.1103940871809925,0.12124634617182506,0.9589971554208075,0.337560178208611,0.8964634595344358,1.3753767827713086,Mistral,M2_date_x_dimrank
fixed,(Intercept),49.05945263422169,36.7896194523972,5.191411738040326,2.087055185373727e-7,11.28256314766485,213.3229711430937,Qwen,M2_date_x_dimrank
fixed,date_c,5.381691970118643,6.545714756486825,1.383714855382818,0.1664457830267326,0.4961446141384016,58.37533581118398,Qwen,M2_date_x_dimrank
fixed,dim_rank,0.8941119898495086,0.04804530460687293,-2.082884243678172,0.037261776156741776,0.8047341218404246,0.9934166188508812,Qwen,M2_date_x_dimrank
fixed,date_c:dim_rank,1.0131623920610144,0.07221202798849286,0.18346858734200167,0.8544303640768679,0.8810704035906919,1.1650578983284798,Qwen,M2_date_x_dimrank
fixed,(Intercept),1.8097166334014223,1.8941558930756137,0.5667274380376595,0.5708993762556569,0.2326445951010457,14.077585992433214,Claude,M3_date_x_task
fixed,date_c,12.68137455436143,12.357419617415305,2.6067250334889054,0.009141273483574044,1.8780595086362448,85.6294807744315,Claude,M3_date_x_task
fixed,tasktom_12dim_mcq,1.2410367874696548,1.415146444525143,0.18937853204699515,0.8497961489615689,0.13278985244132788,11.598569314876784,Claude,M3_date_x_task
fixed,date_c:tasktom_12dim_mcq,0.3319031817093538,0.3478320106590215,-1.0524045576102061,0.2926139785523286,0.04255579134966706,2.588595313000898,Claude,M3_date_x_task
fixed,(Intercept),11.29075444184347,6.15020058937745,4.450035405098874,8.58561342837763e-6,3.88207511119064,32.838400137731846,GPT,M3_date_x_task
fixed,date_c,1.265535378025112,0.8370842078908167,0.35603058270324817,0.7218176621375352,0.3461384407194872,4.626991991135401,GPT,M3_date_x_task
