tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.7204301075268817,15,465,0.2674540347292428,0.0,1.0,10
First-Order False Belief,0.793168880455408,17,527,0.30522968368437114,0.0,1.0,4
Knowledge Access / Ignorance,0.810752688172043,15,465,0.2611069167664342,0.0,1.0,2
Second-Order False Belief,0.8129032258064516,15,465,0.2882485320838713,0.0,1.0,7
Sarcasm,0.8193548387096774,15,465,0.26843499710404917,0.0,1.0,9
White Lies / Prosocial Deception,0.8258064516129032,15,465,0.24078723932894763,0.0,1.0,8
Hidden Emotion (Appearance vs. Reality),0.8301075268817204,15,465,0.26713221011738425,0.0,1.0,6
Intention vs. Accident,0.8387096774193549,15,465,0.25108605197385697,0.0,1.0,5
Diverse Desires,0.8731182795698925,15,465,0.23748986018724308,0.0,1.0,0
Diverse Beliefs,0.8817204301075269,15,465,0.21889261863896567,0.0,1.0,1
Irony,0.8817204301075269,15,465,0.222916478243313,0.0,1.0,11
Emotion Recognition,0.8956356736242884,17,527,0.23367564810346736,0.0,1.0,3
