task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.7742,0.4409,,31
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.9032,0.6582,too-easy,31
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.6129,0.3492,,31
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.5806,0.2632,low-disc,31
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,0.9355,0.6378,too-easy,31
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.9355,0.547,too-easy,31
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,0.9355,0.7514,too-easy,31
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.6452,0.5621,,31
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,0.9677,0.7672,too-easy,31
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.7742,0.6277,,31
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.9032,0.6771,too-easy,31
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.8065,0.6955,,31
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.8065,0.5825,,31
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.6774,0.6315,,31
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.1935,0.3003,too-hard,31
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.3548,0.5517,,31
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.5484,0.4437,,31
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.7742,0.4876,,31
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.6129,0.5612,,31
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.7742,0.5944,,31
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),0.9355,0.5016,too-easy,31
