model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openai-api/local/mistralai/mistral-7b-instruct-v0.3,tom_12dim_freeresponse,-1.2280108536594672,0.3419273141767003,Mistral,Mistral small,0.3887748117727584,2024-05-22,6.72734113363295
openai-api/local/mistralai/mistral-7b-instruct-v0.2,tom_12dim_freeresponse,-0.7383132564526717,0.35941434421338186,Mistral,Mistral small,0.03832991101984941,2024-01-15,6.8615441972120825
openai-api/local/mistralai/mistral-7b-instruct,tom_12dim_freeresponse,-2.0086177847364897,0.32880104808197275,Mistral,Mistral small,-0.26283367556468173,2023-09-27,6.513413513405315
openai-api/local/qwen/qwen3-8b,tom_12dim_freeresponse,0.7208258792938357,0.46921536863334573,Qwen,Qwen small,1.325119780971937,2025-04-29,7.261425559347283
openai-api/local/qwen/qwen2.5-72b-instruct,tom_12dim_freeresponse,0.1417811793564448,0.4139463475438311,Qwen,Qwen large,0.7173169062286106,2024-09-19,7.1027366600671815
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_freeresponse,-0.1805678371810785,0.3901271006070586,Qwen,Qwen small,0.7173169062286106,2024-09-19,7.014395966120938
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_freeresponse,1.2161029799305068,0.5300440377172154,Qwen,Qwen large,0.42984257357973993,2024-06-06,7.397157702214962
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_freeresponse,-0.18056783718107877,0.3901271006070586,Qwen,Qwen small,0.42984257357973993,2024-06-06,7.014395966120938
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_freeresponse,0.7208258792938361,0.4692153686333462,Qwen,Qwen large,0.09308692676249145,2024-02-04,7.261425559347283
openai-api/local/qwen/qwen1.5-14b-chat,tom_12dim_freeresponse,-0.02416284036432717,0.40109261968437926,Qwen,Qwen mid,0.09308692676249145,2024-02-04,7.057259214484048
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_freeresponse,-0.6069733538798796,0.3655362584878127,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.897538282941708
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,-0.6069733538798794,0.36553625848781296,Llama,Llama small,0.5585215605749486,2024-07-23,6.897538282941708
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_freeresponse,1.216102979930507,0.5300440377172156,Llama,Llama large,0.29568788501026694,2024-04-18,7.397157702214962
openai-api/local/meta-llama/llama-3-8b-instruct,tom_12dim_freeresponse,-0.024162840364326768,0.40109261968437887,Llama,Llama small,0.29568788501026694,2024-04-18,7.057259214484048
anthropic/claude-sonnet-5,tom_12dim_freeresponse,2.9366505104285356,0.8402257319259281,Claude,Claude Sonnet,2.4777549623545516,2026-06-24,7.868678802059847
anthropic/claude-fable-5,tom_12dim_freeresponse,3.760082755571507,0.9595968035637182,Claude,Claude Fable,2.4777549623545516,2026-06-24,8.09434282528225
anthropic/claude-opus-4-8,tom_12dim_freeresponse,2.936650510428535,0.8402257319259286,Claude,Claude Opus,2.521560574948665,2026-07-10,7.868678802059846
anthropic/claude-opus-4-7,tom_12dim_freeresponse,2.9366505104285356,0.8402257319259281,Claude,Claude Opus,2.3874058863791925,2026-05-22,7.868678802059847
anthropic/claude-sonnet-4-6,tom_12dim_freeresponse,2.936650510428535,0.8402257319259286,Claude,Claude Sonnet,2.0369609856262834,2026-01-14,7.868678802059846
anthropic/claude-opus-4-6,tom_12dim_freeresponse,2.936650510428538,0.8402257319259289,Claude,Claude Opus,2.1711156741957565,2026-03-04,7.868678802059847
anthropic/claude-opus-4-5-20251101,tom_12dim_freeresponse,1.8821431029607407,0.6327895240325778,Claude,Claude Opus,1.834360027378508,2025-11-01,7.579687952490078
anthropic/claude-haiku-4-5-20251001,tom_12dim_freeresponse,0.7208258792938361,0.4692153686333461,Claude,Claude Haiku,1.749486652977413,2025-10-01,7.261425559347283
anthropic/claude-sonnet-4-5-20250929,tom_12dim_freeresponse,2.936650510428535,0.8402257319259286,Claude,Claude Sonnet,1.7440109514031483,2025-09-29,7.868678802059846
