task,item_id,tom_dimension,facility,discrimination,flag,n_models
tom_12dim_freeresponse,DBEL_FR_01,Diverse Beliefs,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,DBEL_FR_02,Diverse Beliefs,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,DBEL_FR_03,Diverse Beliefs,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,DBEL_FR_04,Diverse Beliefs,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,DBEL_FR_05,Diverse Beliefs,0.6154,0.5745,,13
tom_12dim_freeresponse,DD_FR_01,Diverse Desires,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,DD_FR_02,Diverse Desires,0.7692,0.366,,13
tom_12dim_freeresponse,DD_FR_03,Diverse Desires,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,DD_FR_04,Diverse Desires,0.9231,0.1447,too-easy+low-disc,13
tom_12dim_freeresponse,DD_FR_05,Diverse Desires,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,ER_FR_01,Emotion Recognition,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,ER_FR_02,Emotion Recognition,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,ER_FR_03,Emotion Recognition,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,ER_FR_04,Emotion Recognition,0.6154,0.3962,,13
tom_12dim_freeresponse,ER_FR_05,Emotion Recognition,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,FOFB_FR_01,First-Order False Belief,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,FOFB_FR_02,First-Order False Belief,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,FOFB_FR_03,First-Order False Belief,0.8462,0.7747,,13
tom_12dim_freeresponse,FOFB_FR_04,First-Order False Belief,0.8462,0.1069,low-disc,13
tom_12dim_freeresponse,FOFB_FR_05,First-Order False Belief,0.7692,0.6406,,13
tom_12dim_freeresponse,FP_FR_01,Faux Pas Detection,0.0,0.0,too-hard+low-disc,13
tom_12dim_freeresponse,FP_FR_02,Faux Pas Detection,0.2308,0.3889,,13
tom_12dim_freeresponse,FP_FR_03,Faux Pas Detection,0.7692,0.5262,,13
tom_12dim_freeresponse,FP_FR_04,Faux Pas Detection,0.8462,0.6411,,13
tom_12dim_freeresponse,FP_FR_05,Faux Pas Detection,0.3846,0.2179,low-disc,13
tom_12dim_freeresponse,HE_FR_01,Hidden Emotion (Appearance vs. Reality),0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,HE_FR_02,Hidden Emotion (Appearance vs. Reality),1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,HE_FR_03,Hidden Emotion (Appearance vs. Reality),1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,HE_FR_04,Hidden Emotion (Appearance vs. Reality),1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,HE_FR_05,Hidden Emotion (Appearance vs. Reality),0.8462,0.8014,,13
tom_12dim_freeresponse,IA_FR_01,Intention vs. Accident,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,IA_FR_02,Intention vs. Accident,0.7692,0.6406,,13
tom_12dim_freeresponse,IA_FR_03,Intention vs. Accident,0.6154,0.4755,,13
tom_12dim_freeresponse,IA_FR_04,Intention vs. Accident,0.9231,0.1809,too-easy+low-disc,13
tom_12dim_freeresponse,IA_FR_05,Intention vs. Accident,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,IRO_FR_01,Irony,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,IRO_FR_02,Irony,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,IRO_FR_03,Irony,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,IRO_FR_04,Irony,0.9231,0.1447,too-easy+low-disc,13
tom_12dim_freeresponse,IRO_FR_05,Irony,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,KA_FR_01,Knowledge Access / Ignorance,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,KA_FR_02,Knowledge Access / Ignorance,1.0,0.0,too-easy+low-disc,13
tom_12dim_freeresponse,KA_FR_03,Knowledge Access / Ignorance,0.2308,0.366,,13
tom_12dim_freeresponse,KA_FR_04,Knowledge Access / Ignorance,0.9231,0.9043,too-easy,13
tom_12dim_freeresponse,KA_FR_05,Knowledge Access / Ignorance,0.7692,0.6406,,13
tom_12dim_freeresponse,SAR_FR_01,Sarcasm,0.8462,0.6411,,13
tom_12dim_freeresponse,SAR_FR_02,Sarcasm,0.9231,0.9043,too-easy,13
