tom_dimension,mean_accuracy,n_items,n_responses,std,min,max,rank
Faux Pas Detection,0.7991452991452992,18,234,0.18361154751231484,0.2222222222222222,0.8888888888888888,10
Second-Order False Belief,0.8744939271255061,19,247,0.19282903974266977,0.3684210526315789,1.0,7
Knowledge Access / Ignorance,0.8769230769230769,15,195,0.1535895295576609,0.4,1.0,2
Sarcasm,0.882051282051282,15,195,0.19274593938912732,0.3333333333333333,1.0,9
First-Order False Belief,0.9010989010989011,21,273,0.18794100413722056,0.42857142857142855,1.0,4
Diverse Desires,0.9230769230769231,15,195,0.1652072858364524,0.4,1.0,0
Intention vs. Accident,0.9230769230769231,15,195,0.08094878969266034,0.7333333333333333,1.0,5
White Lies / Prosocial Deception,0.9384615384615385,15,195,0.13733316737190204,0.6,1.0,8
Diverse Beliefs,0.9401709401709402,18,234,0.1512321452603601,0.4444444444444444,1.0,1
Hidden Emotion (Appearance vs. Reality),0.9444444444444444,18,234,0.1416394309331329,0.5,1.0,6
Emotion Recognition,0.9773755656108597,17,221,0.02978645197304902,0.9411764705882353,1.0,3
Irony,0.9794871794871794,15,195,0.05699002761767403,0.8,1.0,11
