model,family,tier,n,n_correct,accuracy,wilson_lo,wilson_hi
openrouter/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,201,166,0.8258706467661692,0.7674684399408961,0.8720500953566216
openrouter/meta-llama/llama-3.1-70b-instruct,Llama,Llama large,201,190,0.945273631840796,0.9046754219810302,0.9691705155629062
openrouter/meta-llama/llama-3.2-3b-instruct,Llama,Llama small,201,102,0.5074626865671642,0.43885758749788717,0.575787875142514
openrouter/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,201,196,0.9751243781094527,0.9430987625731642,0.9893290255323768
openrouter/meta-llama/llama-4-scout,Llama,Llama frontier,201,191,0.9502487562189055,0.9108545731681352,0.9727550061360686
openrouter/meta-llama/llama-4-maverick,Llama,Llama frontier,201,193,0.9601990049751243,0.9234400434856131,0.9796968193391256
openrouter/qwen/qwen-2.5-7b-instruct,Qwen,Qwen small,201,175,0.8706467661691543,0.8172154227072925,0.9101758884326323
openrouter/qwen/qwen-2.5-72b-instruct,Qwen,Qwen large,201,194,0.9651741293532339,0.9298704688482932,0.9830300357367131
openrouter/qwen/qwen3-32b,Qwen,Qwen mid,201,195,0.9701492537313433,0.9364151595075196,0.986248986837754
openrouter/qwen/qwen3.5-397b-a17b,Qwen,Qwen large,201,195,0.9701492537313433,0.9364151595075196,0.986248986837754
openrouter/qwen/qwen3.5-27b,Qwen,Qwen mid,201,198,0.9850746268656716,0.9570437091797073,0.9949113624463686
openrouter/qwen/qwen3.5-9b,Qwen,Qwen small,201,191,0.9502487562189055,0.9108545731681352,0.9727550061360686
openrouter/qwen/qwen3.6-27b,Qwen,Qwen mid,201,197,0.9800995024875622,0.9499567689299726,0.9922346609358359
