task_type,tom_construct,count
freeresponse,Belief reasoning,15
freeresponse,Deception,5
freeresponse,Desire / intention inference,10
freeresponse,Emotion recognition,10
freeresponse,Knowledge access,5
freeresponse,Pragmatic understanding,15
mcq,Belief reasoning,32
mcq,Deception,10
mcq,Desire / intention inference,20
mcq,Emotion recognition,22
mcq,Knowledge access,10
mcq,Pragmatic understanding,30
