item_id,task,a,b,g,tom_dimension,validated_age_band,age_mid,dim_rank
DBEL_FR_01,tom_12dim_freeresponse,1,0.9021845082323827,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_FR_03,tom_12dim_freeresponse,1,-0.022801340793831622,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_FR_04,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_FR_05,tom_12dim_freeresponse,1,3.032694560903221,0,Diverse Beliefs,4-5 yrs,4.5,1
DD_FR_01,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Desires,2-3 yrs,2.5,0
DD_FR_02,tom_12dim_freeresponse,1,-0.02280134079383191,0,Diverse Desires,2-3 yrs,2.5,0
DD_FR_03,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Desires,3-4 yrs,3.5,0
DD_FR_04,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Desires,3-4 yrs,3.5,0
DD_FR_05,tom_12dim_freeresponse,1,-2.4327393404298014,0,Diverse Desires,3-4 yrs,3.5,0
ER_FR_01,tom_12dim_freeresponse,1,-2.4327393404298014,0,Emotion Recognition,6-8 yrs,7,3
ER_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Emotion Recognition,6-8 yrs,7,3
ER_FR_03,tom_12dim_freeresponse,1,-2.4327393404298014,0,Emotion Recognition,6-9 yrs,7.5,3
ER_FR_04,tom_12dim_freeresponse,1,0.9021845082323823,0,Emotion Recognition,4-6 yrs,5,3
ER_FR_05,tom_12dim_freeresponse,1,-2.4327393404298014,0,Emotion Recognition,6-8 yrs,7,3
FOFB_FR_01,tom_12dim_freeresponse,1,3.0326945609032196,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_FR_02,tom_12dim_freeresponse,1,-0.022801340793832062,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_FR_03,tom_12dim_freeresponse,1,1.5449141235947166,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_FR_04,tom_12dim_freeresponse,1,1.5449141235947164,0,First-Order False Belief,5-6 yrs,5.5,4
FOFB_FR_05,tom_12dim_freeresponse,1,4.047786426732187,0,First-Order False Belief,4-5 yrs,4.5,4
FP_FR_01,tom_12dim_freeresponse,1,4.686324365059238,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_02,tom_12dim_freeresponse,1,4.686324365059237,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_03,tom_12dim_freeresponse,1,3.5167130943155605,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_04,tom_12dim_freeresponse,1,0.9021845082323824,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_05,tom_12dim_freeresponse,1,3.5167130943155613,0,Faux Pas Detection,10-12 yrs,11,10
HE_FR_01,tom_12dim_freeresponse,1,2.0777575980799194,0,Hidden Emotion (Appearance vs. Reality),4-6 yrs,5,6
HE_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_FR_03,tom_12dim_freeresponse,1,0.9021845082323817,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_FR_04,tom_12dim_freeresponse,1,-0.022801340793831622,0,Hidden Emotion (Appearance vs. Reality),8-10 yrs,9,6
HE_FR_05,tom_12dim_freeresponse,1,4.047786426732187,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
IA_FR_01,tom_12dim_freeresponse,1,-2.4327393404298014,0,Intention vs. Accident,7-8 yrs,7.5,5
IA_FR_02,tom_12dim_freeresponse,1,3.5167130943155605,0,Intention vs. Accident,5-6 yrs,5.5,5
IA_FR_03,tom_12dim_freeresponse,1,1.5449141235947166,0,Intention vs. Accident,6-7 yrs,6.5,5
IA_FR_04,tom_12dim_freeresponse,1,0.9021845082323824,0,Intention vs. Accident,5-6 yrs,5.5,5
IA_FR_05,tom_12dim_freeresponse,1,-2.4327393404298014,0,Intention vs. Accident,5-6 yrs,5.5,5
IRO_FR_01,tom_12dim_freeresponse,1,-2.4327393404298014,0,Irony,7-9 yrs,8,11
IRO_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Irony,7-9 yrs,8,11
IRO_FR_03,tom_12dim_freeresponse,1,-2.4327393404298014,0,Irony,6-8 yrs,7,11
IRO_FR_04,tom_12dim_freeresponse,1,1.5449141235947168,0,Irony,8-10 yrs,9,11
IRO_FR_05,tom_12dim_freeresponse,1,-2.4327393404298014,0,Irony,7-9 yrs,8,11
KA_FR_01,tom_12dim_freeresponse,1,-2.4327393404298014,0,Knowledge Access / Ignorance,3-4 yrs,3.5,2
KA_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Knowledge Access / Ignorance,4-5 yrs,4.5,2
KA_FR_03,tom_12dim_freeresponse,1,4.047786426732187,0,Knowledge Access / Ignorance,4-5 yrs,4.5,2
KA_FR_04,tom_12dim_freeresponse,1,-0.02280134079383228,0,Knowledge Access / Ignorance,4-5 yrs,4.5,2
KA_FR_05,tom_12dim_freeresponse,1,2.5622833145269848,0,Knowledge Access / Ignorance,4-5 yrs,4.5,2
SAR_FR_01,tom_12dim_freeresponse,1,1.544914123594717,0,Sarcasm,6-8 yrs,7,9
SAR_FR_02,tom_12dim_freeresponse,1,0.9021845082323817,0,Sarcasm,6-8 yrs,7,9
SAR_FR_03,tom_12dim_freeresponse,1,-2.4327393404298014,0,Sarcasm,8-10 yrs,9,9
SAR_FR_04,tom_12dim_freeresponse,1,2.5622833145269848,0,Sarcasm,8-10 yrs,9,9
SAR_FR_05,tom_12dim_freeresponse,1,2.077757598079919,0,Sarcasm,9-11 yrs,10,9
SOFB_FR_01,tom_12dim_freeresponse,1,2.077757598079919,0,Second-Order False Belief,6-7 yrs,6.5,7
SOFB_FR_02,tom_12dim_freeresponse,1,-2.4327393404298014,0,Second-Order False Belief,6-7 yrs,6.5,7
SOFB_FR_03,tom_12dim_freeresponse,1,1.5449141235947161,0,Second-Order False Belief,6-8 yrs,7,7
SOFB_FR_04,tom_12dim_freeresponse,1,2.562283314526985,0,Second-Order False Belief,6-8 yrs,7,7
SOFB_FR_05,tom_12dim_freeresponse,1,2.077757598079919,0,Second-Order False Belief,7-9 yrs,8,7
WL_FR_01,tom_12dim_freeresponse,1,3.516713094315561,0,White Lies / Prosocial Deception,5-7 yrs,6,8
WL_FR_02,tom_12dim_freeresponse,1,3.03269456090322,0,White Lies / Prosocial Deception,8-10 yrs,9,8
WL_FR_03,tom_12dim_freeresponse,1,-0.02280134079383228,0,White Lies / Prosocial Deception,7-9 yrs,8,8
WL_FR_04,tom_12dim_freeresponse,1,2.077757598079919,0,White Lies / Prosocial Deception,7-9 yrs,8,8
