group,logSD_mean,logSD_sd,SD
model,-1.0004929553140591,0.16440117391329673,0.36769813773690097
item,0.7832284185547659,0.09032631954592034,2.1885263516813267
dimension,-1.9336165606905473,0.21753134122159426,0.14462420930514341
