task,scope,kr20,n_items,n_models
tom_12dim_freeresponse,overall,0.9826,60,16
tom_12dim_freeresponse,Diverse Beliefs,0.8616,5,16
tom_12dim_freeresponse,Diverse Desires,0.9649,5,16
tom_12dim_freeresponse,Emotion Recognition,0.9378,5,16
tom_12dim_freeresponse,Faux Pas Detection,0.6706,5,16
tom_12dim_freeresponse,First-Order False Belief,0.7493,5,16
tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),0.8279,5,16
tom_12dim_freeresponse,Intention vs. Accident,0.8594,5,16
tom_12dim_freeresponse,Irony,0.9761,5,16
tom_12dim_freeresponse,Knowledge Access / Ignorance,0.7951,5,16
tom_12dim_freeresponse,Sarcasm,0.8257,5,16
tom_12dim_freeresponse,Second-Order False Belief,0.8463,5,16
tom_12dim_freeresponse,White Lies / Prosocial Deception,0.8463,5,16
tom_12dim_mcq,overall,0.9946,141,16
tom_12dim_mcq,Diverse Beliefs,0.9767,13,16
tom_12dim_mcq,Diverse Desires,0.9673,10,16
tom_12dim_mcq,Emotion Recognition,0.9783,12,16
tom_12dim_mcq,Faux Pas Detection,0.9553,13,16
tom_12dim_mcq,First-Order False Belief,0.9571,16,16
tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),0.9436,13,16
tom_12dim_mcq,Intention vs. Accident,0.9472,10,16
tom_12dim_mcq,Irony,0.9468,10,16
tom_12dim_mcq,Knowledge Access / Ignorance,0.9154,10,16
tom_12dim_mcq,Sarcasm,0.9138,10,16
tom_12dim_mcq,Second-Order False Belief,0.9467,14,16
tom_12dim_mcq,White Lies / Prosocial Deception,0.9283,10,16
