family,dim_rank,tom_dimension,validated_age_band,slope_logodds,slope_or,se,lo,hi
Llama,0,Diverse Desires,2-3 yrs,-5.003601909168541,0.006713721181800649,3.689268469224742,4.8595335168347195e-6,9.275386608778422
Llama,1,Diverse Beliefs,3-4 yrs,-4.761244494475038,0.008554956174241225,3.4833968020908337,9.270231306196308e-6,7.894870443445024
Llama,2,Knowledge Access / Ignorance,3-4 yrs,-4.5188870797815355,0.010901149029182489,3.305627947044056,1.6736512365317864e-5,7.100347286373798
Llama,3,Emotion Recognition,6-8 yrs,-4.276529665088033,0.013890784211642825,3.1607072576247917,2.8332078197568964e-5,6.81043884846337
Llama,4,First-Order False Belief,4-5 yrs,-4.03417225039453,0.017700325488431177,3.0533155770713636,4.456014174072135e-5,7.030981279624051
Llama,5,Intention vs. Accident,7-8 yrs,-3.791814835701027,0.022554631734456484,2.9875028131589287,6.459843654925372e-5,7.8749802603826025
Llama,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,-3.5494574210075243,0.02874022926919859,2.9660380147158714,8.585146296258289e-5,9.621277843641394
Llama,7,Second-Order False Belief,6-7 yrs,-3.3071000063140215,0.03662222412544321,2.9898764776338336,1.0440239914367957e-4,12.846326434016522
Llama,8,White Lies / Prosocial Deception,5-7 yrs,-3.0647425916205187,0.046665852500055345,3.0579588942524722,1.1641583127995617e-4,18.70623407154989
Llama,9,Sarcasm,6-8 yrs,-2.8223851769270163,0.05946394140611375,3.167433542638075,1.1969605294593124e-4,29.541160635822987
Llama,10,Faux Pas Detection,9-11 yrs,-2.5800277622335135,0.07577190039645236,3.314201154996637,1.143939887801825e-4,50.18953312942377
Llama,11,Irony,7-9 yrs,-2.3376703475400107,0.09655230975152955,3.493564761843492,1.0256054193243679e-4,90.89605361579062
Mistral,0,Diverse Desires,2-3 yrs,0.790852061868568,2.2052746564025982,7.41445751172049,1.076834691773126e-6,4516232.943947736
Mistral,1,Diverse Beliefs,3-4 yrs,0.7195908494364931,2.0535928100749725,7.40663340039115,1.0182647393647556e-6,4141598.2175937346
Mistral,2,Knowledge Access / Ignorance,3-4 yrs,0.6483296370044181,1.9123438512965507,7.400458147609432,9.597736780496058e-7,3810334.7583186226
Mistral,3,Emotion Recognition,6-8 yrs,0.5770684245723432,1.7808101916066856,7.395935883530601,9.017162842114632e-7,3516943.18274787
Mistral,4,First-Order False Belief,4-5 yrs,0.5058072121402684,1.6583235992732899,7.393069641503454,8.444255314665761e-7,3256695.892567968
Mistral,5,Intention vs. Accident,7-8 yrs,0.43454599970819335,1.544261804468659,7.391861347928012,7.882092456045968e-7,3025522.1364620994
Mistral,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,0.36328478727611846,1.438045337946008,7.392311815792941,7.333473508333517e-7,2819911.1807498448
Mistral,7,Second-Order False Belief,6-7 yrs,0.2920235748440435,1.3391345871562146,7.394420741943173,6.800897383207225e-7,2636830.6143627656
Mistral,8,White Lies / Prosocial Deception,5-7 yrs,0.22076236241196856,1.2470270548489304,7.398186708099128,6.286547704939856e-7,2473657.321176841
Mistral,9,Sarcasm,6-8 yrs,0.1495011499798936,1.161254806230908,7.4036071856195536,5.792284174309455e-7,2328119.070841604
Mistral,10,Faux Pas Detection,9-11 yrs,0.07823993754781866,1.081382091712315,7.410678543970723,5.319640055497489e-7,2198245.024242983
Mistral,11,Irony,7-9 yrs,0.006978725115743711,1.0070031331638478,7.419396062835997,4.869825441976792e-7,2082323.7347706126
Qwen,0,Diverse Desires,2-3 yrs,-7.051111416278429,8.664454404051624e-4,6.209896985324489,4.485079985849919e-9,167.38334735776925
Qwen,1,Diverse Beliefs,3-4 yrs,-6.990632200441084,9.204644296677573e-4,6.196400775219036,4.8924251296077926e-9,173.17684866676967
Qwen,2,Knowledge Access / Ignorance,3-4 yrs,-6.9301529846037395,9.778512607642098e-4,6.185728897234964,5.307305213902592e-9,180.16546055677907
Qwen,3,Emotion Recognition,6-8 yrs,-6.869673768766394,0.0010388159035361034,6.177895987891026,5.725420130074568e-9,188.48197283741987
Qwen,4,First-Order False Belief,4-5 yrs,-6.809194552929049,0.0011035814185034268,6.172912854436881,6.142071660989656e-9,198.28683455474348
Qwen,5,Intention vs. Accident,7-8 yrs,-6.748715337091705,0.0011723847730096936,6.170786400768049,6.552254273630058e-9,209.77300308943944
Qwen,6,Hidden Emotion (Appearance vs. Reality),4-6 yrs,-6.688236121254359,0.0012454777082500543,6.171519579770885,6.950762316167285e-9,223.17188405935377
Qwen,7,Second-Order False Belief,6-7 yrs,-6.627756905417015,0.0013231276603547122,6.175111372861759,7.332310228929836e-9,238.76060217534553
Qwen,8,White Lies / Prosocial Deception,5-7 yrs,-6.56727768957967,0.0014056187388977782,6.181556797050205,7.691661539615144e-9,256.87090220553785
Qwen,9,Sarcasm,6-8 yrs,-6.506798473742324,0.0014932527664117499,6.190846939412109,8.023761781381092e-9,277.9000530113615
Qwen,10,Faux Pas Detection,9-11 yrs,-6.44631925790498,0.00158635038271107,6.202969018418411,8.323870100082064e-9,302.3242201608533
Qwen,11,Irony,7-9 yrs,-6.385840042067635,0.001685252218065309,6.217906471140331,8.587684237301821e-9,330.7148889054131
