task_type,validated_age_band,count
freeresponse,10-12 yrs,1
freeresponse,2-3 yrs,2
freeresponse,3-4 yrs,6
freeresponse,4-5 yrs,11
freeresponse,4-6 yrs,2
freeresponse,5-6 yrs,4
freeresponse,5-7 yrs,2
freeresponse,6-7 yrs,3
freeresponse,6-8 yrs,11
freeresponse,6-9 yrs,1
freeresponse,7-8 yrs,1
freeresponse,7-9 yrs,6
freeresponse,8-10 yrs,5
freeresponse,9-11 yrs,5
mcq,10-12 yrs,3
mcq,2-3 yrs,5
mcq,3-4 yrs,19
mcq,3-5 yrs,1
mcq,4-5 yrs,30
mcq,4-6 yrs,3
mcq,5-6 yrs,7
mcq,5-7 yrs,3
mcq,6-7 yrs,5
mcq,6-8 yrs,27
mcq,6-9 yrs,1
mcq,7-8 yrs,2
mcq,7-9 yrs,15
mcq,8-10 yrs,9
mcq,9-11 yrs,11
