item_id,task,a,b,g,tom_dimension,validated_age_band,age_mid,dim_rank
DBEL_FR_05,tom_12dim_freeresponse,1,-1.3680895417620274,0,Diverse Beliefs,4-5 yrs,4.5,1
DD_FR_02,tom_12dim_freeresponse,1,-2.313374575062503,0,Diverse Desires,2-3 yrs,2.5,0
FOFB_FR_01,tom_12dim_freeresponse,1,-3.641556055778698,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_FR_05,tom_12dim_freeresponse,1,-3.641556055778698,0,First-Order False Belief,4-5 yrs,4.5,4
FP_FR_01,tom_12dim_freeresponse,1,1.484773964477687,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_02,tom_12dim_freeresponse,1,-2.3133745750625025,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_03,tom_12dim_freeresponse,1,-2.3133745750625025,0,Faux Pas Detection,9-11 yrs,10,10
FP_FR_05,tom_12dim_freeresponse,1,-3.641556055778698,0,Faux Pas Detection,10-12 yrs,11,10
HE_FR_05,tom_12dim_freeresponse,1,-3.641556055778698,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
IA_FR_03,tom_12dim_freeresponse,1,-3.6415560557786977,0,Intention vs. Accident,6-7 yrs,6.5,5
IRO_FR_03,tom_12dim_freeresponse,1,-3.641556055778698,0,Irony,6-8 yrs,7,11
KA_FR_03,tom_12dim_freeresponse,1,-1.3680895417620276,0,Knowledge Access / Ignorance,4-5 yrs,4.5,2
SAR_FR_01,tom_12dim_freeresponse,1,-3.641556055778698,0,Sarcasm,6-8 yrs,7,9
SAR_FR_03,tom_12dim_freeresponse,1,-3.641556055778698,0,Sarcasm,8-10 yrs,9,9
SAR_FR_05,tom_12dim_freeresponse,1,-3.6415560557786977,0,Sarcasm,9-11 yrs,10,9
SOFB_FR_02,tom_12dim_freeresponse,1,-3.6415560557786977,0,Second-Order False Belief,6-7 yrs,6.5,7
SOFB_FR_04,tom_12dim_freeresponse,1,-3.641556055778698,0,Second-Order False Belief,6-8 yrs,7,7
SOFB_FR_05,tom_12dim_freeresponse,1,-1.368089541762028,0,Second-Order False Belief,7-9 yrs,8,7
WL_FR_02,tom_12dim_freeresponse,1,-2.313374575062503,0,White Lies / Prosocial Deception,8-10 yrs,9,8
WL_FR_04,tom_12dim_freeresponse,1,-3.6415560557786977,0,White Lies / Prosocial Deception,7-9 yrs,8,8
DBEL_01,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_02,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_03,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_04,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_05,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_06,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_08,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,3-4 yrs,3.5,1
DBEL_09,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,4-5 yrs,4.5,1
DBEL_10,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Beliefs,3-4 yrs,3.5,1
DD_01,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,2-3 yrs,2.5,0
DD_02,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,2-3 yrs,2.5,0
DD_03,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,2-3 yrs,2.5,0
DD_05,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,2-3 yrs,2.5,0
DD_06,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,3-4 yrs,3.5,0
DD_07,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,2-3 yrs,2.5,0
DD_08,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,3-4 yrs,3.5,0
DD_09,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,3-4 yrs,3.5,0
DD_10,tom_12dim_mcq,1,-3.583455649830997,0,Diverse Desires,3-4 yrs,3.5,0
ER_02,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,3-4 yrs,3.5,3
ER_03,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,3-4 yrs,3.5,3
ER_05,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,3-5 yrs,4,3
ER_06,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-8 yrs,7,3
ER_07,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-8 yrs,7,3
ER_08,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-8 yrs,7,3
ER_09,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-9 yrs,7.5,3
ER_10,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-8 yrs,7,3
ER_11,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,4-6 yrs,5,3
ER_12,tom_12dim_mcq,1,-3.583455649830997,0,Emotion Recognition,6-8 yrs,7,3
FOFB_01,tom_12dim_mcq,1,-3.5834556498309933,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_02,tom_12dim_mcq,1,-0.4863920064119955,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_04,tom_12dim_mcq,1,-0.4863920064119955,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_05,tom_12dim_mcq,1,-0.4863920064119955,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_06,tom_12dim_mcq,1,-3.5834556498309933,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_07,tom_12dim_mcq,1,-3.5834556498309933,0,First-Order False Belief,5-6 yrs,5.5,4
FOFB_08,tom_12dim_mcq,1,-3.5834556498309933,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_09,tom_12dim_mcq,1,-3.5834556498309933,0,First-Order False Belief,4-5 yrs,4.5,4
FOFB_12,tom_12dim_mcq,1,-3.583455649830997,0,First-Order False Belief,5-6 yrs,5.5,4
FP_01,tom_12dim_mcq,1,-3.583455649830997,0,Faux Pas Detection,9-11 yrs,10,10
FP_03,tom_12dim_mcq,1,-3.583455649830997,0,Faux Pas Detection,9-11 yrs,10,10
FP_05,tom_12dim_mcq,1,-3.583455649830997,0,Faux Pas Detection,9-11 yrs,10,10
FP_08,tom_12dim_mcq,1,-3.583455649830997,0,Faux Pas Detection,9-11 yrs,10,10
HE_02,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_03,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),4-6 yrs,5,6
HE_04,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_05,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_06,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
HE_08,tom_12dim_mcq,1,-3.583455649830997,0,Hidden Emotion (Appearance vs. Reality),7-9 yrs,8,6
HE_10,tom_12dim_mcq,1,-0.4863920064119955,0,Hidden Emotion (Appearance vs. Reality),6-8 yrs,7,6
IA_01,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,4-5 yrs,4.5,5
IA_02,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,4-5 yrs,4.5,5
IA_03,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,4-5 yrs,4.5,5
IA_04,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,4-5 yrs,4.5,5
IA_05,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,5-6 yrs,5.5,5
IA_07,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,5-6 yrs,5.5,5
IA_08,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,5-6 yrs,5.5,5
IA_09,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,4-5 yrs,4.5,5
IA_10,tom_12dim_mcq,1,-3.583455649830997,0,Intention vs. Accident,6-7 yrs,6.5,5
IRO_02,tom_12dim_mcq,1,-3.583455649830997,0,Irony,7-9 yrs,8,11
IRO_03,tom_12dim_mcq,1,-3.583455649830997,0,Irony,7-9 yrs,8,11
IRO_04,tom_12dim_mcq,1,-3.583455649830997,0,Irony,6-8 yrs,7,11
IRO_05,tom_12dim_mcq,1,-3.583455649830997,0,Irony,7-9 yrs,8,11
IRO_08,tom_12dim_mcq,1,-3.583455649830997,0,Irony,8-10 yrs,9,11
IRO_09,tom_12dim_mcq,1,-3.583455649830997,0,Irony,8-10 yrs,9,11
IRO_10,tom_12dim_mcq,1,-3.583455649830997,0,Irony,7-9 yrs,8,11
KA_01,tom_12dim_mcq,1,-3.583455649830997,0,Knowledge Access / Ignorance,3-4 yrs,3.5,2
