group,logSD_mean,logSD_sd,SD
model,-1.000492678596472,0.16440112347998992,0.3676982394854565
item,0.7832284260970839,0.09032625205162191,2.1885263681878886
dimension,-1.9336169723641556,0.21753129216593578,0.14462414976718557
